category,rate,name,address,url,price_range
"Libraries,Tutoring Centers,Adult Education",4.0 star rating,state of ohio licenses,,,
"Hair Salons,Nail Salons",3.0 star rating,snip-its haircuts,,,$$$
Sewing & Alterations,4.5 star rating,dr denim,,,
"Breweries,American (Traditional),Breakfast & Brunch",3.0 star rating,gainey cleaners,,,$$
Chinese,3.5 star rating,blue sky cafe,,,$
Chocolatiers & Shops,4.5 star rating,ghiradelli chocolate co,,,$$
"Pilates,Gyms,Trainers",5.0 star rating,fitness performance,,,
American (New),3.5 star rating,berks county,,,$$
"Vegan,Asian Fusion",3.5 star rating,magic hut,,,$
Adult,4.5 star rating,hollywood shoppe,,,$$
,,arete,,,
Appliances,,aerus,,,
Shades & Blinds,4.0 star rating,cool sunshades,,,
Pet Groomers,4.0 star rating,pet nanny of america,,,
Shopping Centers,2.5 star rating,freakys funhouse,,,$$
"Parks,Landmarks & Historical Buildings",4.5 star rating,fireworks,,,
"Public Services & Government,Public Transportation",2.0 star rating,armed forces recruiting office,,,
Framing,4.5 star rating,hall of frames,,,$$
"Electronics Repair,Mobile Phone Repair",4.5 star rating,n e o r r s c ,,,
Jewelry,4.5 star rating,judith ripka,,,$$$
"Acupuncture,Massage,Traditional Chinese Medicine",5.0 star rating,chinese chair massage,,,$
"Electricians,Contractors",5.0 star rating,total quality communication,,,
"Hot Dogs,Street Vendors",4.5 star rating,kings hot dogs,,,$
American (New),4.0 star rating,mon ami jewlers,,,$$$$
"Local Flavor,Mass Media",2.5 star rating,moda xpress,,,
"Men's Clothing,Women's Clothing,Children's Clothing",3.5 star rating,zara,,,$$
Mobile Phones,2.0 star rating,wireless connections,,,$$$$
"Outlet Stores,Men's Clothing",5.0 star rating,haggar clothing ,,,
"Hair Salons,Day Spas",4.0 star rating,natural alternatives aveda lifestyle salonspa,,,$$$
,,against all odds,,,
Hair Salons,4.5 star rating,kristis spa,,,$$
Cinema,3.0 star rating,amc theatres,,,
"Bookstores,Comic Books,Music & DVDs",4.5 star rating,cell craze,,,$$
Jewelry,,jewel time,,,
Hair Salons,3.5 star rating,himani- makeup skin care ,,,$
"Hair Salons,Art Galleries",4.5 star rating,simply fabulous,,,$$
Movers,5.0 star rating,merchant storage units,,,
Nail Salons,4.0 star rating,lee nail spa,,,$
Stadiums & Arenas,4.5 star rating,tix 4 tonight,,,
"Italian,Bakeries,Coffee & Tea",4.0 star rating,semolinas intl pasta,,,$
"Electronics,Mobile Phones",4.0 star rating,wireless phones,,,$
"American (Traditional),Italian",3.5 star rating,sidelines sports grill,,,$$
"Women's Clothing,Accessories",4.0 star rating,sofi accessories,,,$$$
Automotive,5.0 star rating,xclusiv,,,
"Computers,Mobile Phones,IT Services & Computer Repair",3.5 star rating,tm perfumes,,,$$$
"Tea Rooms,Vegan,Gluten-Free",4.0 star rating,b snowh earl counseling,,,$$
"Grocery,Beer, Wine & Spirits,Meat Shops",3.5 star rating,super kmart pharmacy,,,$$$
"Optometrists,Eyewear & Opticians",4.0 star rating,correct time,,,$$$
"Home Cleaning,Office Cleaning",4.5 star rating,springs communications,,,
Art Galleries,,decorative art,,,
Mortgage Brokers,5.0 star rating,first capital,,,
Hair Salons,5.0 star rating,beautique,,,$$
Community Service/Non-Profit,,japantown task force,,,
"Mongolian,Hot Pot,Chinese",3.5 star rating,house of mongolia,,,$$
"Cosmetics & Beauty Supply,Jewelry,Baby Gear & Furniture",3.0 star rating,dillards clearance center,,,$$
Wedding Planning,4.0 star rating,lionheart books,,,
"Libraries,Tutoring Centers,Adult Education",4.0 star rating,retail skills center,,,
"Greek,Mediterranean",4.0 star rating,troys restaurant,,,$
"Vegan,Thai,Vegetarian",4.5 star rating,white orchids thai cuisine,,,$$
Cinema,3.5 star rating,carmike cinema 8,,,
Cinema,3.5 star rating,carmike cinema 7,,,
"Pizza,Italian",4.0 star rating,little italia pizzeria,,,$$
Physical Therapy,5.0 star rating,on site therapeutic,,,
"Sushi Bars,Japanese",4.0 star rating,how do you roll?,,,$$
Public Services & Government,4.5 star rating,one link,,,
"Vegetarian,Juice Bars & Smoothies,Coffee & Tea",4.0 star rating,cafe fresh express,,,$$
Mobile Phones,4.0 star rating,c t wireless ii,,,$$
"Indian,Pakistani",4.0 star rating,shalimar jewelers,,,$
Community Service/Non-Profit,4.0 star rating,antique childrens carousel,,,
Garage Door Services,5.0 star rating,cr wireless,,,
"Pizza,Italian",4.0 star rating,pizza patron,,,$$
Cinema,4.5 star rating,loews cineplex,,,
"Skin Care,Hair Removal",4.5 star rating,skin,,,$$$
"Sandwiches,Steakhouses,Delis",1.5 star rating,charleys philly steak,,,$
Burgers,4.0 star rating,village burger bar,,,$$
"Home Decor,Interior Design,Furniture Stores",4.0 star rating,perfect accent,,,$$$
"Nail Salons,Hair Removal",4.0 star rating,cali pro nail,,,$$
"Thrift Stores,Antiques,Toy Stores",4.5 star rating,gold nmore,,,$
"Children's Clothing,Maternity Wear",4.0 star rating,the storks nest,,,$$$
Italian,4.0 star rating,carinos italian grill,,,$$
Party & Event Planning,5.0 star rating,starlight golf,,,
"Parks,Landmarks & Historical Buildings,Hiking",5.0 star rating,flipping lizards,,,
French,4.5 star rating,blue water bistro,,,$$$
Sewing & Alterations,4.5 star rating,superior alterations,,,
"Local Flavor,Mass Media",2.5 star rating,brand xrogers,,,
"Greek,Mediterranean",4.5 star rating,nicks corner grill,,,$$$
Steakhouses,3.5 star rating,saltgrass steakhouse,,,$$$
"Pet Services,Pet Stores",4.5 star rating,pet fair,,,
Shoe Stores,4.0 star rating,gregorys shoes,,,$$
"Burgers,Cocktail Bars",4.0 star rating,jezebel,,,$$
"Dim Sum,Szechuan",4.0 star rating,chicken max*,,,$$
Tanning,3.0 star rating,electric beach tanning,,,$$$
Pediatric Dentists,3.0 star rating,just kids dentistry,,,
"Jewelry,Bridal",4.5 star rating,infinite design jeweler,,,$$
"American (New),Wine Bars,Desserts",3.5 star rating,veneto delightful italian desserts,,,$$$
"Skin Care,Laser Hair Removal,Medical Spas",5.0 star rating,glo spa,,,$$$
"Sports Wear,Bikes,Outdoor Gear",4.5 star rating,a elite sports authority,,,$$
"Cards & Stationery,Children's Clothing",4.5 star rating,kids go round,,,$$
"Hair Extensions,Hair Stylists",4.5 star rating,sears styling salon,,,$$$
"Japanese,Sushi Bars,Gluten-Free",4.0 star rating,yoho asian diner,,,$$$
"Sushi Bars,Japanese",3.5 star rating,sushi monster,,,$$
Mediterranean,4.0 star rating,okee dokee grill,,,$
"Hotels,Gyms",4.0 star rating,kidz vend,,,$$$
Ramen,4.0 star rating,chons karate,,,$$
"Shopping Centers,Specialty Food",4.5 star rating,mall of america gifts,,,$$
Luggage,4.0 star rating,tumi,,,$$$
"Women's Clothing,Children's Clothing",3.0 star rating,nu u unlimited,,,$$
Martial Arts,5.0 star rating,martial arts academy,,,
"American (New),Breakfast & Brunch",4.0 star rating,splendiferous look cart ,,,$$
Hotels,3.5 star rating,shoes on a shoe string,,,$$
"Veterinarians,Pet Boarding/Pet Sitting",4.0 star rating,mixed pet veterinary hosp,,,
Museums,4.5 star rating,asian art,,,
Cosmetics & Beauty Supply,4.0 star rating,elizabeth arden makeup skincare and fragrance ,,,$$
"Music & DVDs,Videos & Video Game Rental",4.5 star rating,gamestop upper level,,,$$
"Cafes,Coffee & Tea",3.0 star rating,charlotte cafe,,,$
Cocktail Bars,4.0 star rating,himalayan frontiers,,,$$
Caterers,4.0 star rating,layers n trim,,,
Banks & Credit Unions,4.0 star rating,wells fargo,,,
Banks & Credit Unions,1.0 star rating,harrisfrank,,,
Fashion,4.0 star rating,daves airbrush,,,$$
Italian,3.5 star rating,che pasta,,,$$
"Southern,Soul Food,Breakfast & Brunch",3.5 star rating,whats poppin 787 sq ft  ,,,$$
"Optometrists,Eyewear & Opticians",4.5 star rating,dr jorge san martin,,,$$
"American (Traditional),Steakhouses",4.0 star rating,gullivers travels,,,$$$
Cards & Stationery,3.0 star rating,angels hallmark,,,$$
"Accessories,Men's Clothing,Women's Clothing",4.5 star rating,buckles and more,,,$$$
,,asian world,,,
"Music & DVDs,Videos & Video Game Rental",4.5 star rating,finks jewelers,,,$$
Bridal,5.0 star rating,vera dress shop,,,$$$$
"Body Shops,Car Stereo Installation",5.0 star rating,tnt sports,,,
Mortgage Brokers,,american general finance,,,
"Specialty Food,Caterers,Grocery",4.5 star rating,fresco world market,,,$$$
Nail Salons,2.0 star rating,sun nails,,,$$
"Auto Repair,Tires,Body Shops",4.0 star rating,j w cooper,,,
Bridal,3.5 star rating,fones gone wild,,,$$
Italian,4.0 star rating,120% lino,,,$$
Men's Clothing,3.5 star rating,orvis coming soon ,,,$$$
"Real Estate Services,Property Management,Apartments",5.0 star rating,environs,,,
Indian,4.0 star rating,indi bite indian grill,,,$$$
"Shades & Blinds,Carpeting,Flooring",,cambridge design,,,
"Electronics Repair,Mobile Phone Repair",4.5 star rating,unique phone accessories,,,
"Hair Removal,Skin Care",4.5 star rating,zoom tan,,,$$
Fashion,,the chic boutique,,,
"Art Galleries,Venues & Event Spaces",3.5 star rating,al fresco patio furniture,,,$$
"Hobby Shops,Do-It-Yourself Food,Brewing Supplies",4.5 star rating,home brew,,,$$
"Women's Clothing,Men's Clothing,Accessories",5.0 star rating,the mens store,,,$$$
"Videographers,Video/Film Production",5.0 star rating,videos etc ,,,
"Fast Food,Chicken Wings",3.0 star rating,churchs chicken,,,$
Auto Repair,,harolds,,,
"Beer, Wine & Spirits,Wine Bars",4.5 star rating,sweet fantasy,,,$$
"Steakhouses,Brazilian,Buffets",4.0 star rating,rio grill brazilian steak,,,$$$
"Insurance,Travel Services,Towing",3.5 star rating,plaza insurance agency,,,
General Dentistry,4.5 star rating,central park dental,,,
"Day Spas,Medical Spas",4.5 star rating,bye stress,,,$$
Mexican,,garcias,,,
Performing Arts,5.0 star rating,southern repertory theatre,,,
Cinema,4.5 star rating,cinearts century theatres,,,
Colleges & Universities,3.0 star rating,lee college,,,
,,fashion trend,,,
"Men's Clothing,Women's Clothing",3.5 star rating,bongs tailor,,,$$$
Steakhouses,3.5 star rating,mortons the steak house,,,$$$$
Candy Stores,4.5 star rating,gourmet gumball,,,$$
"Japanese,Hawaiian,Chinese",4.5 star rating,hawaiian breeze smoothies,,,$$$
Massage,4.5 star rating,real relaxation massage,,,$$
"Performing Arts,Dance Schools",2.5 star rating,najlas,,,
