category,rate,name,address,url,price_range
"Department Stores,Men's Clothing,Women's Clothing,Furniture Stores,Flowers & Gifts,Personal Shopping",3.5 star rating,mk fashions,,,$$
"Hot Dogs,Fast Food",3.5 star rating,hot dog on a stick,,,$
"Candy Stores,Chocolatiers & Shops",4.5 star rating,candies and more,,,$
Jewelry,4.0 star rating,treasure island jewelry,,,$$
"American (Traditional),Breakfast & Brunch,Cafes",4.0 star rating,dotties place,,,$$
"Banks & Credit Unions,Investing",4.5 star rating,schools first federal credit union,,,
Home Organization,5.0 star rating,closet and storage concepts,,,
"Party & Event Planning,DJs",5.0 star rating,sarah bain gallery,,,
Hair Salons,5.0 star rating,woodbridge news,,,$$
"Pizza,Italian",4.0 star rating,dions pizza,,,$
"Hiking,Local Flavor",5.0 star rating,steps,,,
Hair Stylists,5.0 star rating,design hairstylist,,,$$
"Men's Clothing,Women's Clothing,Accessories",3.0 star rating,gloss denim bar,,,$$$
Mexican,3.0 star rating,letis liquors,,,$$
Restaurants,2.0 star rating,teriyaki tokyo,,,
"Ophthalmologists,Eyewear & Opticians",4.5 star rating,docs fashions,,,$$
"Investing,Financial Advising",3.0 star rating,ameriprise financial,,,
Podiatrists,,fot,,,
Personal Shopping,5.0 star rating,exquisite fashions,,,$$
"Breakfast & Brunch,American (New),Mediterranean",4.0 star rating,ala bella,,,$$$
Ice Cream & Frozen Yogurt,4.0 star rating,golden spoon yogurt,,,$
Music Venues,4.5 star rating,fox,,,$$
Bowling,3.0 star rating,bowlmor bowling,,,
Zoos,3.5 star rating,tulsa promenade mall,,,
"Pubs,Breweries,Breakfast & Brunch",3.5 star rating,mcmenamins pub,,,$$
Psychiatrists,,uma,,,
Car Rental,2.5 star rating,dollar ,,,
"Party & Event Planning,Performing Arts,Magicians",5.0 star rating,daffys,,,
Museums,4.5 star rating,toledo police sub station,,,
Movers,4.5 star rating,j b robinsons,,,
Hair Salons,5.0 star rating,its beauty time,,,$$
Performing Arts,5.0 star rating,dance dimensions,,,
Toy Stores,,rc toys,,,
"Landmarks & Historical Buildings,Venues & Event Spaces",4.5 star rating,city hall,,,
,,p city,,,
Eyewear & Opticians,4.5 star rating,eye mart express,,,$$
"Skin Care,Day Spas,Hair Salons",4.0 star rating,la bella day spa,,,$$$
"American (New),Breakfast & Brunch",4.0 star rating,ugo cafe,,,$$
Tobacco Shops,4.5 star rating,crimson heart,,,$$
"Comedy Clubs,Performing Arts,Magicians",5.0 star rating,childrens play castle,,,$$
"Buffets,Japanese",3.0 star rating,mikino,,,$$
"Shoe Stores,Sports Wear",5.0 star rating,mind body sole,,,$$
Shopping Centers,3.5 star rating,just sports 2,,,$$
"Sandwiches,Cheesesteaks",4.0 star rating,sweet peppers,,,$
"Dim Sum,Cantonese",3.5 star rating,china pavillion,,,$$$
"Women's Clothing,Art Galleries,Accessories",5.0 star rating,irene unique boutique,,,$$
Hotels,4.0 star rating,eliza bs,,,$$$
Florists,4.5 star rating,villagio restaurant,,,$$
"Jazz & Blues,Lounges",4.0 star rating,cafe deluxe,,,$$
Jewelry,4.0 star rating,graff jewelers,,,$$$$
"Day Spas,Massage",3.5 star rating,foot first,,,$
"Pizza,Pubs",3.5 star rating,pavones pizza,,,$$
Music Venues,4.0 star rating,art whino,,,$$
