01202,42.3929,-73.228483,pittsfield,massachusetts,berkshire
01203,42.3929,-73.228483,pittsfield,massachusetts,berkshire
01220,42.385595,-73.172166,adams,massachusetts,berkshire
01222,42.185969,-73.318695,ashley falls,massachusetts,berkshire
01223,42.3418,-73.103468,becket,massachusetts,berkshire
01224,42.3929,-73.228483,berkshire,massachusetts,berkshire
01225,42.482125,-73.127483,cheshire,massachusetts,berkshire
01226,42.470296,-73.08895,dalton,massachusetts,berkshire
01227,42.516145,-73.092852,dalton,massachusetts,berkshire
01229,42.279292,-73.343545,glendale,massachusetts,berkshire
01230,42.299392,-73.26665,great barrington,massachusetts,berkshire
01235,42.29237,-73.22164,hinsdale,massachusetts,berkshire
01236,42.291299,-73.358798,housatonic,massachusetts,berkshire
01237,42.487569,-73.235048,lanesboro,massachusetts,berkshire
01238,42.369856,-73.267465,lee,massachusetts,berkshire
01240,42.459202,-73.219858,lenox,massachusetts,berkshire
01242,42.338594,-73.250891,lenox dale,massachusetts,berkshire
01243,42.356088,-73.010448,middlefield,massachusetts,hampshire
01244,42.122827,-73.253983,mill river,massachusetts,berkshire
01245,42.18669,-73.206498,monterey,massachusetts,berkshire
01247,42.426974,-73.18632,north adams,massachusetts,berkshire
01252,42.198648,-73.446234,north egremont,massachusetts,berkshire
01253,42.213156,-73.090434,otis,massachusetts,berkshire
01254,42.233105,-73.238358,richmond,massachusetts,berkshire
01255,42.148975,-73.14861,sandisfield,massachusetts,berkshire
01256,42.367341,-73.128528,savoy,massachusetts,berkshire
01257,42.314564,-73.267694,sheffield,massachusetts,berkshire
01258,42.128075,-73.36089,south egremont,massachusetts,berkshire
01259,42.198712,-73.278543,southfield,massachusetts,berkshire
01260,42.286586,-73.313274,south lee,massachusetts,berkshire
01262,42.304604,-73.330001,stockbridge,massachusetts,berkshire
01263,42.3929,-73.228483,stockbridge,massachusetts,berkshire
01264,42.220001,-73.197865,tyringham,massachusetts,berkshire
01266,42.360482,-73.265354,west stockbridge,massachusetts,berkshire
01267,42.642075,-73.257699,williamstown,massachusetts,berkshire
01270,42.443726,-73.116127,windsor,massachusetts,berkshire
01301,42.601335,-72.623619,greenfield,massachusetts,franklin
01302,42.522178,-72.624164,greenfield,massachusetts,franklin
01330,42.562391,-72.738152,ashfield,massachusetts,franklin
01331,42.547302,-72.183903,athol,massachusetts,worcester
01337,42.62706,-72.642888,bernardston,massachusetts,franklin
01338,42.573832,-72.769487,buckland,massachusetts,franklin
01339,42.594252,-72.665507,charlemont,massachusetts,franklin
01340,42.681539,-72.822986,colrain,massachusetts,franklin
01341,42.590824,-72.70976,conway,massachusetts,franklin
01342,42.54723,-72.607679,deerfield,massachusetts,franklin
01343,42.642666,-72.986231,drury,massachusetts,berkshire
01344,42.627072,-72.553654,erving,massachusetts,franklin
01346,42.618011,-72.788896,heath,massachusetts,franklin
01347,42.556558,-72.518104,lake pleasant,massachusetts,franklin
01349,42.621412,-72.705633,turners falls,massachusetts,franklin
01350,42.721456,-72.976204,monroe bridge,massachusetts,franklin
01351,42.548107,-72.48693,montague,massachusetts,franklin
01354,42.522178,-72.624164,northfield,massachusetts,franklin
01355,42.518718,-72.534371,new salem,massachusetts,franklin
01360,42.614152,-72.528209,northfield,massachusetts,franklin
01364,42.578325,-72.556589,orange,massachusetts,franklin
01366,42.459632,-72.182962,petersham,massachusetts,worcester
01367,42.683065,-72.715667,rowe,massachusetts,franklin
01368,42.672182,-72.196376,royalston,massachusetts,worcester
01369,42.522178,-72.624164,shattuckville,massachusetts,franklin
01370,42.588812,-72.758781,shelburne falls,massachusetts,franklin
01373,42.464522,-72.682346,south deerfield,massachusetts,franklin
01375,42.565346,-72.70094,sunderland,massachusetts,franklin
01376,42.654878,-72.718123,turners falls,massachusetts,franklin
01378,42.667059,-72.339655,warwick,massachusetts,franklin
01379,42.581007,-72.437179,wendell,massachusetts,franklin
01380,42.553431,-72.392694,wendell depot,massachusetts,franklin
01420,42.583689,-71.816767,fitchburg,massachusetts,worcester
01430,42.654906,-71.920942,ashburnham,massachusetts,worcester
01431,42.446396,-71.459405,ashby,massachusetts,middlesex
01432,42.446396,-71.459405,ayer,massachusetts,middlesex
01436,42.601427,-72.083838,baldwinville,massachusetts,worcester
01438,42.551681,-72.029434,east templeton,massachusetts,worcester
01440,42.582529,-72.025884,gardner,massachusetts,worcester
01441,42.364807,-71.896868,westminster,massachusetts,worcester
01450,42.446396,-71.459405,groton,massachusetts,middlesex
01451,42.500187,-71.575864,harvard,massachusetts,worcester
01452,42.483895,-72.011516,hubbardston,massachusetts,worcester
01453,42.471316,-71.837509,leominster,massachusetts,worcester
01460,42.446396,-71.459405,littleton,massachusetts,middlesex
01462,42.583322,-71.752266,lunenburg,massachusetts,worcester
01463,42.446396,-71.459405,pepperell,massachusetts,middlesex
01464,42.446396,-71.459405,shirley,massachusetts,middlesex
01467,42.487056,-71.613078,still river,massachusetts,worcester
01468,42.555059,-72.072285,templeton,massachusetts,worcester
01469,42.446396,-71.459405,townsend,massachusetts,middlesex
01470,42.446396,-71.459405,groton,massachusetts,middlesex
01471,42.446396,-71.459405,groton,massachusetts,middlesex
01472,42.446396,-71.459405,west groton,massachusetts,middlesex
01473,42.549489,-71.913219,westminster,massachusetts,worcester
01474,42.446396,-71.459405,west townsend,massachusetts,middlesex
01475,42.661612,-72.047876,winchendon,massachusetts,worcester
01477,42.364807,-71.896868,winchendon springs,massachusetts,worcester
01501,42.184835,-71.947184,auburn,massachusetts,worcester
01503,42.3129,-71.841656,berlin,massachusetts,worcester
01504,42.114078,-71.799785,blackstone,massachusetts,worcester
01505,42.300037,-71.943458,boylston,massachusetts,worcester
01506,42.19169,-72.105011,brookfield,massachusetts,worcester
01507,42.13277,-71.972627,charlton,massachusetts,worcester
01508,42.109748,-72.079455,charlton city,massachusetts,worcester
01509,42.364807,-71.896868,charlton depot,massachusetts,worcester
01510,42.413972,-71.687523,clinton,massachusetts,worcester
01515,42.205311,-72.049907,east brookfield,massachusetts,worcester
01516,42.113076,-71.891139,douglas,massachusetts,worcester
01517,42.364807,-71.896868,east princeton,massachusetts,worcester
01518,42.106405,-72.114045,fiskdale,massachusetts,worcester
01519,42.203944,-71.682862,grafton,massachusetts,worcester
01520,42.336791,-71.845316,holden,massachusetts,worcester
01521,42.061063,-72.163991,holland,massachusetts,hampden
01522,42.264629,-71.795442,jefferson,massachusetts,worcester
01523,42.427188,-71.91177,lancaster,massachusetts,worcester
01524,42.238192,-72.012379,leicester,massachusetts,worcester
01525,42.364807,-71.896868,linwood,massachusetts,worcester
01526,42.364807,-71.896868,manchaug,massachusetts,worcester
01527,42.255642,-71.819961,millbury,massachusetts,worcester
01529,42.124662,-71.846943,millville,massachusetts,worcester
01531,42.320938,-72.128644,new braintree,massachusetts,worcester
01532,42.322118,-71.64282,northborough,massachusetts,worcester
01534,42.207191,-71.856807,northbridge,massachusetts,worcester
01535,42.275382,-72.089338,north brookfield,massachusetts,worcester
01536,42.407556,-71.860402,north grafton,massachusetts,worcester
01537,42.166241,-71.891052,north oxford,massachusetts,worcester
01538,42.364807,-71.896868,north uxbridge,massachusetts,worcester
01540,42.109223,-71.855444,oxford,massachusetts,worcester
01541,42.451926,-71.880057,princeton,massachusetts,worcester
01542,42.220085,-71.914361,rochdale,massachusetts,worcester
01543,42.383516,-71.95463,rutland,massachusetts,worcester
01545,42.286992,-71.715313,shrewsbury,massachusetts,worcester
01546,42.364807,-71.896868,shrewsbury,massachusetts,worcester
01550,42.129251,-72.031155,southbridge,massachusetts,worcester
01560,42.176544,-71.681912,south grafton,massachusetts,worcester
01561,42.443539,-71.686137,south lancaster,massachusetts,worcester
01562,42.254837,-72.065612,spencer,massachusetts,worcester
01564,42.366765,-71.939375,sterling,massachusetts,worcester
01566,42.10273,-72.080996,sturbridge,massachusetts,worcester
01568,42.175591,-71.603197,upton,massachusetts,worcester
01569,42.059736,-71.638438,uxbridge,massachusetts,worcester
01570,42.1351,-71.994169,webster,massachusetts,worcester
01571,42.059189,-71.937037,dudley,massachusetts,worcester
01580,42.364807,-71.896868,westborough,massachusetts,worcester
01581,42.255222,-71.845865,westborough,massachusetts,worcester
01582,42.364807,-71.896868,westborough,massachusetts,worcester
01583,42.362783,-71.781215,west boylston,massachusetts,worcester
01585,42.235638,-72.172523,west brookfield,massachusetts,worcester
01586,42.364807,-71.896868,west millbury,massachusetts,worcester
01588,42.166554,-71.899484,whitinsville,massachusetts,worcester
01590,42.126575,-71.755193,sutton,massachusetts,worcester
01601,42.265275,-71.879415,worcester,massachusetts,worcester
01602,42.274595,-71.846966,worcester,massachusetts,worcester
01603,42.245442,-71.839257,worcester,massachusetts,worcester
01604,42.247955,-71.76678,worcester,massachusetts,worcester
01605,42.288792,-71.796128,worcester,massachusetts,worcester
01606,42.311834,-71.794465,worcester,massachusetts,worcester
01607,42.226452,-71.792506,worcester,massachusetts,worcester
01608,42.293501,-71.925696,worcester,massachusetts,worcester
01609,42.282565,-71.827685,worcester,massachusetts,worcester
01610,42.246483,-71.808915,worcester,massachusetts,worcester
01611,42.239392,-71.878716,cherry valley,massachusetts,worcester
01612,42.304675,-71.892875,paxton,massachusetts,worcester
