mallid,mall,name,usps,geoid,INTPTLAT,INTPTLONG,POP10,HU10,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,Homeowner_vacancy_rate_percent,Median_Age_Female,Median_Age_Male,Median_Age,Percent_65_years_and_over,Percent_American_Indian_and_Alaska_Native,Percent_Asian,Percent_Black_or_African_American,Percent_Family_households,Percent_Female,Percent_Male,Percent_Nonfamily_households,Percent_Occupied_housing_units,Percent_Some_Other_Race,Percent_White,Rental_vacancy_rate_percent
11,Turtle Creek Mall,Forrest County,mississippi,28035,31.18858,-89.259447,74934,32289,1207748039,10150274,466.314,3.919,2.4,32.2,30.4,31.3,11.6,0.2,0.7,36.1,62.1,52.2,47.8,37.9,89,1.8,59.7,11.1,"shoes:1,restaurant:1,sporting goods:1,plus size clothing:1,women's clothing:3,children's apparel:1, clothing:2,nutritional supplements:1,jewelry:3,beauty products:1,women's jewelry:1,hair care:1,girl's clothing:1,clothing:11,maternity clothing:1,telecommunication:1"
12,Oak Court Mall,Shelby County,tennessee,47157,35.183794,-89.895397,927644,398274,1976612450,56576401,763.174,21.844,2.8,36.2,32.9,34.6,10.3,0.2,2.3,52.1,65.9,52.3,47.7,34.1,88.1,3.3,40.6,15.1,"men's gifts:1,shoes:1,children's footwear:1,women's clothing:4,children's apparel:1,hair care:1,clothing:10,guest services:1,fasion wholesale:1,jewelry:2,chocolates:1,eyewear:1,women's jewelry:1,men's clothing:1,coffee:1,women's shoes:1,beauty products:1,children's clothing:1,restaurant:4,video games:1,perfume:1,nutritional supplements:1,footwear:1"
13,North Ridge Shopping Center,Wake County,north carolina,37183,35.789846,-78.650624,900993,371836,2163206258,57246693,835.219,22.103,2.5,35.3,33.4,34.4,8.5,0.5,5.4,20.7,65.7,51.3,48.7,34.3,93,4.5,66.3,8.4,coffee:1
14,Stony Point Fashion Park,Richmond city,virginia,51760,37.531399,-77.476009,204214,98349,154894705,6880315,59.805,2.657,4.6,32.7,31.3,32,11.1,0.3,2.3,50.6,47.4,52.3,47.7,52.6,88.6,3.6,40.8,9.5,"men's gifts:1,stuffed animals:1,restaurant:3,clothing:5, accessories:1,makeup:1,women's clothing:4,eyewear:2,children's apparel:1,mattress:1,sports apparel:1,jewelry:1,beauty products:1,footwear:1,women's handbags:1,girl's clothing:1,children's clothing:1,sporting goods:1,denim:1,telecommunication:1"
15,Knollwood Mall,Hennepin County,minnesota,27053,45.006064,-93.475185,1152425,509469,1433793826,137155436,553.591,52.956,2.1,36.9,34.9,35.9,11.4,0.9,6.2,11.8,57.3,50.9,49.1,42.7,93.4,3.4,74.4,7.6,"consumer electronics:1,restaurant:4,nutritional supplements:1,beauty products:1,women's jewelry:1,clothing:1"
16,Carrollton Crossroads,Marion County,tennessee,47115,35.133422,-85.618399,28237,12954,1290227262,36501967,498.16,14.093,2,43.9,40.9,42.3,15.9,0.4,0.4,3.6,70.4,50.9,49.1,29.6,88,0.6,93.9,12.9,"clothing:2,footwear:2,eyewear:1"
17,Hill Country Galleria,Travis County,texas,48453,30.239513,-97.69127,1024266,441240,2564612388,84967219,990.202,32.806,2.5,32.3,31.5,31.9,7.3,0.8,5.8,8.5,56.8,49.6,50.4,43.2,91.7,12.2,69.3,8.7,"men's clothing:1,telecommunication:1,headwear:1,women's clothing:3,beauty products:1,sporting goods:1,clothing:8,jewelry:1,restaurant:2,eyewear:1,footwear:1,girl's clothing:1,books and digital media:1"
18,Legacy Place,Norfolk County,massachusetts,25021,42.169702,-71.179875,670850,270359,1025908386,124944841,396.105,48.241,1.1,41.8,39.5,40.7,14.5,0.2,8.6,5.7,65.5,52.1,47.9,34.5,95.4,1.3,82.3,5.9,"shoes:2,children's footwear:1,denim:1,women's clothing:5,children's apparel:1,beauty products:2,clothing:5,telecommunication:1,consumer electronics:1,jewelry:1,restaurant:1,candles:1,girl's clothing:1"
19,Northlake Mall,DeKalb County,georgia,13089,33.770661,-84.226343,691893,304968,693033963,9220158,267.582,3.56,3.8,35.6,32.9,34.3,9,0.4,5.1,54.3,59.4,52.1,47.9,40.6,89.1,4.5,33.3,12.8,"men's clothing:1,consumer electronics:2,jewelry:1,restaurant:2,women's clothing:3,eyewear:2,children's apparel:1,perfume:1,nutritional supplements:1,telecommunication:1,beauty products:1,footwear:2,sports apparel:1,clothing:4,women's jewelry:1,women's shoes:1,personalized gifts:1"
20,Treasure Coast Square,Martin County,florida,12085,27.079954,-80.398211,146318,78131,1407565382,542252066,543.464,209.365,3.6,51.3,48,49.7,27.3,0.6,1.1,5.4,62.8,50.5,49.5,37.2,81.8,4.1,87.3,13.5,"cookies:1,men's gifts:1,shoes:1,headwear:1,women's clothing:6,children's apparel:1,hair care:2,clothing:13,jewelry:4,eyewear:3,personalized gifts:1,women's handbags:1,girl's clothing:1, clothing:2,telecommunication:2,photography:1,sports apparel:1,beauty products:1,consumer electronics:2,sports clothing:1,restaurant:6,candles:1,video games:1,perfume:1,nutritional supplements:2,footwear:3"
21,Foothills Mall,Larimer County,colorado,8069,40.663091,-105.482131,299630,132722,6723613486,98295250,2596.002,37.952,2,36.8,34.3,35.5,11.9,0.7,1.9,0.8,62.3,50.4,49.6,37.7,90.6,3.2,90.5,5.1,"consumer electronics:1,women's jewelry:1,sports clothing:1,jewelry:3,restaurant:1, beauty products:1,video games:1,women's clothing:4,eyewear:1,children's apparel:1,maternity clothing:1,nutritional supplements:1,personalized gifts:1,clothing:10, clothing:1,footwear:1"
22,Eisenhower Crossing,Delaware County,ohio,39041,40.278941,-83.007462,174214,66378,1147617685,36859321,443.098,14.231,2,37.9,36.9,37.4,9.5,0.1,4.3,3.4,76.4,50.7,49.3,23.6,94.5,0.6,89.7,7.7,"nutritional supplements:1,consumer electronics:1,beauty products:1,footwear:1,sporting goods:1,department store:1,clothing:2,home furnishings:1"
23,Uptown Park,Harris County,texas,48201,29.857273,-95.393037,4092459,1598698,4411986582,191671993,1703.478,74.005,2.3,33,31.4,32.2,8.1,0.7,6.2,18.9,68.7,50.2,49.8,31.3,89.8,14.3,56.6,13.7,"coffee:1,women's clothing:2"
24,Simi Valley Town Center,Ventura County,california,6111,34.358741,-119.133143,823318,281695,4773691889,945991626,1843.133,365.249,1.4,37.7,34.8,36.2,11.7,1,6.7,1.8,73.9,50.3,49.7,26.1,94.8,17,68.7,4.8,"shoes:1,women's clothing:6,children's apparel:1,clothing:9,fasion wholesale:1, accessories:1,eyewear:1,personalized gifts:1,girl's clothing:1, clothing:1,men's clothing:1,coffee:1,telecommunication:1,plus size clothing:1,beauty products:1,children's clothing:1,diamonds:1,consumer electronics:1,sports clothing:1,restaurant:4,nutritional supplements:2,footwear:1"
25,Hilldale Mall,Brown County,wisconsin,55009,44.473961,-87.995926,248007,104371,1371938244,222741055,529.708,86.001,1.8,37.2,35.2,36.2,11.6,2.7,2.7,2.2,64.8,50.5,49.5,35.2,94.3,3.7,86.5,7.2,"department store:1,telecommunication:1,women's clothing:1,beauty products:1,clothing:2,maternity clothing:1"
26,Tippecanoe Mall,Tippecanoe County,indiana,18157,40.38926,-86.893943,172780,71096,1294491529,8902814,499.806,3.437,3.1,29.5,26.3,27.7,9.5,0.3,6.2,4,56.5,49,51,43.5,92.2,3.3,84,8.1,"shoes:1,women's clothing:5,children's apparel:1,hair care:3,clothing:12,women's shoes:1,jewelry:5,eyewear:3,mattress:1,personalized gifts:1,girl's clothing:1, clothing:2,women's jewelry:2,telecommunication:1,photography:1,plus size clothing:1,beauty products:1,children's clothing:1,sporting goods:1,consumer electronics:3,sports clothing:1,restaurant:6,candles:1,video games:1, beauty products:1,nutritional supplements:1,footwear:2"
27,Fayette Pavilion,Clayton County,georgia,13063,33.552242,-84.412977,259424,104705,366664243,7152613,141.57,2.762,4.1,33.1,30.1,31.6,6.6,0.4,5,66.1,68.8,52.1,47.9,31.2,86.6,7.1,18.9,16.7,"men's clothing:1,coffee:1,telecommunication:1,department store:1,plus size clothing:1,home furnishings:1,beauty products:1,sporting goods:1,clothing:4,furniture:1,consumer electronics:1,nutritional supplements:1,footwear:3"
28,Firewheel Town Center,Rockwall County,texas,48397,32.889216,-96.407501,78337,27939,329020647,56154384,127.036,21.681,2.2,36.6,35.1,35.9,9.6,0.6,2.4,5.8,80.7,50.8,49.2,19.3,94.7,5.4,83.6,6.9,"men's gifts:1,shoes:2,women's clothing:6,children's apparel:2,home furnishings:1,hair care:1,clothing:9,jewelry:3, accessories:1,eyewear:1,mattress:1,women's jewelry:1,girl's clothing:1,books and digital media:1, clothing:2,men's clothing:2,women's shoes:1,sporting goods:1,plus size clothing:1,sports apparel:1,beauty products:1,furniture:1,sports clothing:1,restaurant:1,candles:1,perfume:1,footwear:1"
29,Pacific View,Ventura County,california,6111,34.358741,-119.133143,823318,281695,4773691889,945991626,1843.133,365.249,1.4,37.7,34.8,36.2,11.7,1,6.7,1.8,73.9,50.3,49.7,26.1,94.8,17,68.7,4.8,"shoes:1,women's clothing:3,children's apparel:1,hair care:1,clothing:12,maternity clothing:1,telecommunication:2,department store:1,jewelry:2,chocolates:1,eyewear:2,mattress:1,personalized gifts:1,women's handbags:1,girl's clothing:1, clothing:1,disney:1,women's jewelry:1,women's shoes:1,plus size clothing:2,sports apparel:1,beauty products:3,cellular accessories:1,sports clothing:1,restaurant:10, beauty products:1,nutritional supplements:2,footwear:1"
