mallid,mall,name,usps,geoid,INTPTLAT,INTPTLONG,POP10,HU10,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,Homeowner_vacancy_rate_percent,Median_Age_Female,Median_Age_Male,Median_Age,Percent_65_years_and_over,Percent_American_Indian_and_Alaska_Native,Percent_Asian,Percent_Black_or_African_American,Percent_Family_households,Percent_Female,Percent_Male,Percent_Nonfamily_households,Percent_Occupied_housing_units,Percent_Some_Other_Race,Percent_White,Rental_vacancy_rate_percent
211,Southdale Center,Hennepin County,minnesota,27053,45.006064,-93.475185,1152425,509469,1433793826,137155436,553.591,52.956,2.1,36.9,34.9,35.9,11.4,0.9,6.2,11.8,57.3,50.9,49.1,42.7,93.4,3.4,74.4,7.6,"men's gifts:1,shoes:1,denim:1,women's clothing:3,children's apparel:1,skincare:1,hair care:1,clothing:6,guest services:1, accessories:1,chocolates:1,eyewear:2,women's jewelry:1,women's handbags:1, clothing:1,personalized gifts:1,men's clothing:2,coffee:1,telecommunication:1,photography:1,sports apparel:1,beauty products:2,sports clothing:1,restaurant:4,nutritional supplements:1,clothing & shoes:1"
212,The Grove,Los Angeles County,california,6037,34.196398,-118.261862,9818605,3445076,10509869649,1795012906,4057.884,693.058,1.7,35.9,33.6,34.8,10.9,0.7,13.7,8.7,67.7,50.7,49.3,32.3,94.1,21.8,50.3,5.8,"coffee:1,denim:1,women's clothing:3,clothing:6,consumer electronics:1,jewelry:1,restaurant:2,women's handbags:1,books and digital media:1, clothing:1,clothing & shoes:1"
213,The Mall at Shelter Cove,Beaufort County,south carolina,45013,32.358147,-80.68932,162233,93023,1492559284,899026998,576.28,347.116,4.1,43.4,38,40.6,20.4,0.3,1.2,19.3,69.8,50.6,49.4,30.2,69.8,5.2,71.9,30.7,"men's clothing:1,men's gifts:1,women's clothing:2,children's apparel:1,beauty products:1,clothing:4,furniture:1,jewelry:1, beauty products:1,eyewear:1,nutritional supplements:1,women's jewelry:1, clothing:1"
214,Town Center at Boca Raton,Broward County,florida,12011,26.19352,-80.476658,1748066,810388,3133329108,292869341,1209.785,113.077,3.3,40.7,38.5,39.7,14.3,0.3,3.2,26.7,63.3,51.6,48.4,36.7,84.7,3.7,63.1,10.7,"men's gifts:1,shoes:2,headwear:1,women's clothing:6,children's apparel:1,clothing:14,guest services:1,women's shoes:2,jewelry:3, accessories:1,chocolates:1,eyewear:2,mattress:1,women's handbags:1,girl's clothing:1, clothing:1,men's clothing:1,telecommunication:2,makeup:1,sports apparel:1,beauty products:3,furniture:2,consumer electronics:2,restaurant:3,candles:1,nutritional supplements:2,footwear:1,clothing & shoes:1"
215,Paradise Valley Mall,Maricopa County,arizona,4013,33.346541,-112.495534,3817117,1639279,23828260196,62795719,9200.143,24.246,4.1,35.7,33.5,34.6,12.1,2.1,3.5,5,66.1,50.5,49.5,33.9,86.1,12.8,73,13.7,"men's gifts:1,shoes:1,children's footwear:1,women's clothing:3,children's apparel:1,skincare:1,hair care:2,clothing:17,telecommunication:1,jewelry:5,chocolates:1,eyewear:2,mattress:1,personalized gifts:1,girl's clothing:1, clothing:2,women's jewelry:1,coffee:1,women's shoes:1,plus size clothing:1,sports apparel:1,beauty products:2,cellular accessories:1,children's clothing:1,sports clothing:1,stuffed animals:1,restaurant:7,perfume:1,nutritional supplements:1,footwear:2"
216,Valle Vista Mall,Cameron County,texas,48061,26.102923,-97.478958,406220,141924,2307478146,998531503,890.922,385.535,1.8,32.3,28.7,30.6,11.1,0.4,0.7,0.5,80.7,51.9,48.1,19.3,84.3,9.8,87,10.3,"men's clothing:1,telecommunication:2,women's clothing:1,beauty products:1,hair care:3,clothing:7,shoes:1,consumer electronics:1,jewelry:3,restaurant:3,eyewear:1,perfume:1,nutritional supplements:1,personalized gifts:1,footwear:3"
217,Grand Traverse Mall,Grand Traverse County,michigan,26055,44.718688,-85.553848,86986,41599,1202611911,354786289,464.331,136.984,2.7,43.2,39.7,41.3,15,1.2,0.7,1.2,64.8,50.6,49.4,35.2,84.9,0.6,94.7,9.9,"shoes:1,headwear:1,women's clothing:2,children's apparel:1,hair care:1,clothing:12,maternity clothing:1,department store:1,jewelry:4,women's jewelry:1,girl's clothing:1, clothing:1,men's clothing:1,plus size clothing:1,beauty products:1,children's clothing:1,consumer electronics:1,restaurant:3,candles:1, beauty products:1,nutritional supplements:2,footwear:1"
218,Monte Vista Crossings,Wake County,north carolina,37183,35.789846,-78.650624,900993,371836,2163206258,57246693,835.219,22.103,2.5,35.3,33.4,34.4,8.5,0.5,5.4,20.7,65.7,51.3,48.7,34.3,93,4.5,66.3,8.4,"department store:1,coffee:1,beauty products:1,telecommunication:2,restaurant:6,footwear:2,furniture:1,clothing:1,ice cream:1,home furnishings:1"
219,Old Capitol Town Center,Johnson County,iowa,19103,41.668736,-91.588812,130882,55967,1590355537,23595204,614.04,9.11,2.5,29.8,28.8,29.3,8.6,0.2,5.2,4.8,52.9,50,50,47.1,94.2,1.8,85.6,5.2,"nutritional supplements:1,home furnishings:1,telecommunication:1,restaurant:2"
220,Tower City Center,Cuyahoga County,ohio,39035,41.760392,-81.724217,1280122,621763,1184118946,2041935958,457.191,788.396,2.8,41.7,38.4,40.2,15.5,0.2,2.6,29.7,58.7,52.6,47.4,41.3,87.7,1.8,63.6,13.2,"telecommunication:1,headwear:1,women's clothing:2,home furnishings:1,sports apparel:1,beauty products:1,children's clothing:1,clothing:1,women's shoes:1,restaurant:3,nutritional supplements:1,footwear:2,personalized gifts:1"
221,Sandusky Mall,Washington County,maine,23029,44.967009,-67.609354,32856,23001,6637257545,1800019787,2562.66,694.992,4.3,47,45.2,46.1,19.6,4.9,0.5,0.4,61.9,50.7,49.3,38.1,62.2,0.4,92.1,9.3,"men's clothing:1,consumer electronics:1,cookies:1,telecommunication:1,headwear:1,sporting goods:1,restaurant:1,women's clothing:3,nutritional supplements:1,jewelry:1,department store:1,beauty products:1,footwear:2,hair care:1,girl's clothing:1,sports apparel:1,clothing:12, clothing:1,shoes:1"
222,Rogue Valley Mall,Jackson County,oregon,41029,42.411782,-122.675797,203206,90937,7209356169,46880700,2783.548,18.101,2.7,43.5,40.8,42.1,17.6,1.2,1.2,0.7,64.4,51.3,48.7,35.6,91.4,4.5,88.7,6.7,"shoes:1,headwear:1,women's clothing:5,children's apparel:1,home furnishings:1,hair care:2,clothing:12,maternity clothing:1,jewelry:3,women's jewelry:1,girl's clothing:1, clothing:2,coffee:1,women's shoes:1,photography:1,diamonds:1,sports apparel:1,beauty products:1,cellular accessories:1,children's clothing:1,sports clothing:1,restaurant:1,nutritional supplements:1,footwear:2"
223,Renaissance at Colony Park,Madison County,mississippi,28089,32.63437,-90.03416,95203,38558,1850562626,70638762,714.506,27.274,2,36.9,34.5,35.8,10.4,0.2,2.1,38.2,70.5,52.1,47.9,29.5,92.9,1.6,57,6.5,"nutritional supplements:1,beauty products:1,women's shoes:1,restaurant:1,women's clothing:5,books and digital media:1,clothing:3,denim:1,clothing & shoes:1,furniture:1"
224,South Shore Plaza,Suffolk County,massachusetts,25025,42.33196,-71.020173,722023,315522,150618894,160748611,58.154,62.065,2.1,32.1,30.9,31.5,10.5,0.4,8.2,21.6,48,51.8,48.2,52,92.8,9.7,56,5.3,"consumer electronics:2,men's gifts:1,women's shoes:2,headwear:1,denim:1,plus size clothing:1,women's clothing:7,children's apparel:3,sports apparel:1,beauty products:3, clothing:1,skincare:1,chocolates:1,children's clothing:1,clothing:18,guest services:1,shoes:2,department store:1,hair care:1,sports clothing:1,jewelry:4,restaurant:6,candles:1,children's footwear:1,eyewear:1,perfume:1,nutritional supplements:1,telecommunication:2,footwear:2,women's handbags:1,photography:1,clothing & shoes:1,personalized gifts:1"
225,Los Cerritos Center,Los Angeles County,california,6037,34.196398,-118.261862,9818605,3445076,10509869649,1795012906,4057.884,693.058,1.7,35.9,33.6,34.8,10.9,0.7,13.7,8.7,67.7,50.7,49.3,32.3,94.1,21.8,50.3,5.8,"men's gifts:1,shoes:1,women's clothing:4,children's apparel:1,skincare:1,hair care:1,clothing:16,maternity clothing:1,telecommunication:2,fasion wholesale:1,jewelry:2,chocolates:2,eyewear:2,personalized gifts:1,women's handbags:1,girl's clothing:1, clothing:1,disney:1,women's jewelry:1,women's shoes:1,plus size clothing:1,sports apparel:1,beauty products:3,sports clothing:1,children's clothing:1,consumer electronics:1,cellular accessories:1,restaurant:9,nutritional supplements:2,footwear:1"
226,The Falls,Aiken County,south carolina,45003,33.549317,-81.63387,160099,72249,2773965154,24764187,1071.034,9.562,2.4,41.3,38.6,40,15.4,0.4,0.8,24.6,68.4,51.6,48.4,31.6,88.9,2.6,69.6,9.1,"cookies:1,men's gifts:1,children's footwear:1,denim:1,women's clothing:6,children's apparel:1,clothing:8,telecommunication:1,fasion wholesale:1,jewelry:2, accessories:1,eyewear:2,women's handbags:1,diamonds:1, clothing:1,disney:1,coffee:1,women's shoes:1,girl's clothing:1,furniture:1,consumer electronics:1,stuffed animals:1,restaurant:4,candles:1, beauty products:1,perfume:1,footwear:1"
227,Dover Commons,Kent County,delaware,10001,39.097088,-75.502982,162310,65338,1518196116,549470508,586.179,212.152,2.6,38,35,36.6,13.5,0.6,2,24,70.2,51.9,48.1,29.8,92.3,2,67.8,8.3,"telecommunication:1,furniture:1"
228,Bayshore Mall,Humboldt County,california,6023,40.706673,-123.925818,134623,61559,9241044673,1254256396,3567.987,484.271,1.5,38.6,35.9,37.1,13.2,5.7,2.2,1.1,55.5,49.8,50.2,44.5,91,3.7,81.7,3.6,"consumer electronics:1,sports clothing:1,jewelry:4,restaurant:3,video games:1,women's clothing:2,eyewear:1,home furnishings:1,telecommunication:1,beauty products:1,footwear:1,hair care:1,children's clothing:1,furniture:1,clothing:6,women's jewelry:1,shoes:1"
229,Country Club Mall,Allegany County,maryland,24001,39.612309,-78.703108,75087,33311,1098563627,14954037,424.158,5.774,2.5,43.8,38.7,40.9,17.8,0.1,0.8,8,61.6,48.3,51.7,38.4,87.6,0.2,89.2,7.9,"photography:1,beauty products:1,hair care:1,clothing:6,jewelry:3,restaurant:2,video games:1,nutritional supplements:1,footwear:2,diamonds:1,personalized gifts:1"
230,Quaker Bridge Mall,Mercer County,new jersey,34021,40.282503,-74.703724,366513,143169,581601212,11217700,224.557,4.331,1.6,39.2,36.2,37.8,12.6,0.3,8.9,20.3,67.2,51.2,48.8,32.8,93,6.2,61.4,8.5,"shoes:1,women's clothing:4,children's apparel:1,hair care:2,clothing:8,guest services:1,jewelry:4, accessories:1,eyewear:2,personalized gifts:1,women's handbags:1,girl's clothing:1, clothing:1,women's jewelry:1,men's clothing:1,telecommunication:2,sports apparel:1,beauty products:2,children's clothing:1,consumer electronics:1,restaurant:1,perfume:1,nutritional supplements:1,footwear:1"
231,Altamonte Mall,Orange County,florida,12095,28.514435,-81.323295,1145956,487839,2339870128,258560561,903.429,99.831,4.2,34.7,32.7,33.7,9.7,0.4,4.9,20.8,64.8,50.8,49.2,35.2,86.5,6.7,63.6,13,"cookies:1,video games:1,women's shoes:1,headwear:1,plus size clothing:1,women's clothing:7,children's apparel:2,sports apparel:1,beauty products:1,children's clothing:1,perfume:1,clothing:16,maternity clothing:1,stuffed animals:1,consumer electronics:2,sports clothing:1,jewelry:4,restaurant:6,girl's clothing:1,candles:1, accessories:1,children's footwear:1, beauty products:1,eyewear:3,shoes:2,nutritional supplements:1,telecommunication:2,footwear:1,women's handbags:1,diamonds:1,books and digital media:1, clothing:1,personalized gifts:1"
232,Kent Station,Tyler County,west virginia,54095,39.465981,-80.879493,9208,5000,663797222,11403019,256.294,4.403,1.6,45.8,44.6,45.2,18.5,0.2,0.1,0.2,68.4,51,49,31.6,77.2,0,99,8.7,"telecommunication:1,women's clothing:3,beauty products:1,clothing:3,ice cream:1,shoes:1,sports clothing:1,jewelry:1,restaurant:3,chocolates:1,footwear:1,girl's clothing:1, clothing:1"
233,Bayfair Center,Alameda County,california,6001,37.648081,-121.913304,1510271,582549,1914046110,213184643,739.017,82.311,1.8,37.5,35.6,36.6,11.1,0.6,26.1,12.6,64.6,51,49,35.4,93.6,10.8,43,6.4,"nutritional supplements:1,department store:1,cookies:1,women's shoes:1,restaurant:3,headwear:1,clothing:3,coffee:1,children's apparel:1,home furnishings:1"
234,Woodburn Company Stores,Yamhill County,oregon,41071,45.248138,-123.316117,99193,37110,1854068926,6429807,715.86,2.483,2.4,37.9,35.8,36.8,13.4,1.5,1.5,0.9,72,49.8,50.2,28,93.6,7.2,85.4,6.4,"fasion wholesale:1,sports clothing:1,shoes:1,children's footwear:1,plus size clothing:1,women's clothing:2,eyewear:1,children's apparel:1,nutritional supplements:1,telecommunication:1,headwear:1,ice cream:1,women's handbags:1,children's clothing:1,clothing:5,maternity clothing:1,clothing & shoes:1,restaurant:1"
235,Chico Mall,Butte County,california,6007,39.665959,-121.601919,220000,95835,4238423238,105325758,1636.464,40.667,2.4,39.3,35.2,37.2,15.4,2,4.1,1.6,60,50.5,49.5,40,91.4,5.5,81.9,6.4,"men's clothing:1,consumer electronics:1,video games:1,sports clothing:1,jewelry:2,restaurant:3,personalized gifts:1,chocolates:1,women's clothing:3,eyewear:2, clothing:2,nutritional supplements:1,beauty products:1,women's jewelry:1,hair care:1,clothing:9,maternity clothing:1,telecommunication:1"
236,Salmon Run Mall,Jefferson County,new york,36045,43.995371,-76.053522,116229,57966,3285632368,1524548726,1268.59,588.632,2.4,34.2,31.2,32.6,11.2,0.5,1.3,5.1,68.2,49.1,50.9,31.8,75,1.4,88.7,7.3,"consumer electronics:1,footwear:3,sports clothing:1,shoes:1,headwear:1,sporting goods:1,video games:1,women's clothing:4,eyewear:1,nutritional supplements:2,jewelry:2,telecommunication:3,beauty products:1,personalized gifts:1,hair care:1,girl's clothing:1,children's clothing:1,clothing:13,diamonds:1,restaurant:4"
237,Longview Mall,Gregg County,texas,48183,32.486397,-94.816276,121730,49514,707850624,6372935,273.303,2.461,1.6,37.2,33.5,35.3,13.5,0.6,1.1,20,68.1,51.1,48.9,31.9,92.5,8.7,67.3,6.9,"consumer electronics:1,footwear:1,sports clothing:1,jewelry:3,restaurant:2,photography:1,video games:1,women's clothing:3,eyewear:1,children's apparel:2,mattress:1,nutritional supplements:1,telecommunication:1,beauty products:1,headwear:1,women's jewelry:1,girl's clothing:1,perfume:1,clothing:8, clothing:1,shoes:1"
238,Phipps Plaza,Fulton County,georgia,13121,33.790034,-84.468182,920581,437105,1363977166,19917366,526.635,7.69,5.2,35,33.3,34.2,9.1,0.2,5.6,44.1,55.6,51.3,48.7,44.4,86.1,3.4,44.5,13.7,"men's clothing:1,coffee:1,women's shoes:1,restaurant:3,clothing:2, accessories:1,women's clothing:3,denim:1"
239,Cottonwood Mall,Bernalillo County,new mexico,35001,35.054002,-106.669064,662564,284234,3006530549,16471335,1160.828,6.36,1.9,37.2,34.6,35.8,12.2,4.8,2.3,3,61.7,51,49,38.3,93.6,16,69.4,7,"shoes:1,women's clothing:2,children's apparel:1,hair care:2,clothing:15,guest services:1,jewelry:5,eyewear:2,mattress:1,personalized gifts:1, clothing:2,women's jewelry:1,women's shoes:1,photography:1,plus size clothing:1,sports apparel:1,beauty products:2,cellular accessories:1,children's clothing:1,consumer electronics:2,sports clothing:1,restaurant:4,candles:1,nutritional supplements:2,footwear:3"
240,Westfield Vancouver Shopping Centre,Clark County,washington,53011,45.771674,-122.485903,425363,167413,1629112686,70523141,629.004,27.229,2.1,37.6,35.9,36.7,11.5,0.9,4.1,2,70,50.6,49.4,30,94.4,2.9,85.4,6,"shoes:1,headwear:1,women's clothing:3,children's apparel:2,hair care:1,clothing:15,jewelry:5,chocolates:1,eyewear:4,mattress:1,personalized gifts:1,girl's clothing:1, clothing:1,women's jewelry:1,telecommunication:2,photography:2,plus size clothing:1,sports apparel:1,beauty products:1,cellular accessories:1,consumer electronics:1,sports clothing:1,stuffed animals:1,restaurant:4,candles:1,video games:1, beauty products:1,nutritional supplements:1,footwear:2"
241,The Shops of Legacy,Douglas County,nebraska,31055,41.297091,-96.154066,517110,219580,850693384,28210895,328.455,10.892,1.9,34.4,32.6,33.5,10.6,0.7,2.7,11.6,62.1,50.8,49.2,37.9,92.2,5.7,76.4,10.3,telecommunication:1
242,RiverGate Mall,Davidson County,tennessee,47037,36.169129,-86.78479,626681,283978,1305438546,56749226,504.033,21.911,3.5,34.8,33.1,33.9,10.4,0.3,3,27.7,55.9,51.6,48.4,44.1,91.4,4.9,61.4,9.2,"shoes:1,headwear:1,women's clothing:3,children's apparel:1,hair care:3,clothing:13,maternity clothing:1,telecommunication:1,jewelry:5,eyewear:1,personalized gifts:1,girl's clothing:1, clothing:2,women's jewelry:1,men's clothing:1,women's shoes:1,photography:1,sports apparel:1,beauty products:1,children's clothing:1,consumer electronics:1,cellular accessories:1,stuffed animals:1,restaurant:1, beauty products:1,nutritional supplements:2,footwear:2"
243,The Promenade Shops at Clifton,Essex County,new jersey,34013,40.787216,-74.246136,783969,312954,326888224,8854094,126.212,3.419,2.5,37.9,34.8,36.4,11.5,0.4,4.6,40.9,66.7,52,48,33.3,90.7,8.4,42.6,9.6,"clothing:1,women's clothing:1,telecommunication:1"
244,Westfield Westland Shopping Centre,Miami-Dade County,florida,12086,25.610494,-80.499045,2496435,989435,4915061046,1381673402,1897.716,533.467,3.2,39.4,36.9,38.2,14.1,0.2,1.5,18.9,69.5,51.6,48.4,30.5,87.7,3.2,73.8,8.9,"consumer electronics:2,women's shoes:1,restaurant:2,women's clothing:3,eyewear:1,children's apparel:1,perfume:1,nutritional supplements:1,jewelry:4,telecommunication:1,beauty products:2,maternity clothing:1,footwear:1,sports apparel:1,children's clothing:1,clothing:8,women's jewelry:1,personalized gifts:1"
245,Selma Mall,Dallas County,alabama,1047,32.33354,-87.114356,43820,20208,2534807386,39134826,978.695,15.11,2,39,35.8,37.7,14.1,0.2,0.3,69.4,67,53.8,46.2,33,84.4,0.2,29.1,11.9,"telecommunication:1,children's apparel:1,nutritional supplements:1,footwear:1,sporting goods:1,clothing:3"
246,Plaza Fiesta,DeKalb County,georgia,13089,33.770661,-84.226343,691893,304968,693033963,9220158,267.582,3.56,3.8,35.6,32.9,34.3,9,0.4,5.1,54.3,59.4,52.1,47.9,40.6,89.1,4.5,33.3,12.8,
247,Church Street Marketplace,Chittenden County,vermont,50007,44.460675,-73.070525,156545,65722,1389731195,214245176,536.578,82.721,1.4,37.5,34.9,36.2,11.3,0.3,2.8,2.1,59.2,51.3,48.7,40.8,94.1,0.4,92.5,3.6,"candles:1,coffee:1,beauty products:1,clothing:2,restaurant:1"
248,Burlington Town Center,Chittenden County,vermont,50007,44.460675,-73.070525,156545,65722,1389731195,214245176,536.578,82.721,1.4,37.5,34.9,36.2,11.3,0.3,2.8,2.1,59.2,51.3,48.7,40.8,94.1,0.4,92.5,3.6,"plus size clothing:1,women's clothing:2,beauty products:1,clothing:5,furniture:2,jewelry:2, beauty products:1,eyewear:1,women's jewelry:1, clothing:1,clothing & shoes:1,footwear:1"
249,Valley Mall,Salt Lake County,utah,49035,40.667882,-111.924244,1029655,364031,1922501205,168569885,742.282,65.085,2,31.3,30.3,30.8,8.7,0.9,3.3,1.6,70.8,49.7,50.3,29.2,94.1,8.3,81.2,6.8,"coffee:1,sports clothing:1,jewelry:2,restaurant:2,shoes:1,women's clothing:1,eyewear:1,children's apparel:1,home furnishings:1,nutritional supplements:1,footwear:2,hair care:1,diamonds:1,children's clothing:1,furniture:1,clothing:14,maternity clothing:1,ice cream:1,telecommunication:3"
250,Arizona Center,Maricopa County,arizona,4013,33.346541,-112.495534,3817117,1639279,23828260196,62795719,9200.143,24.246,4.1,35.7,33.5,34.6,12.1,2.1,3.5,5,66.1,50.5,49.5,33.9,86.1,12.8,73,13.7,"coffee:1,women's clothing:1,ice cream:1,restaurant:1"
251,Augusta Mall,Richmond County,georgia,13245,33.361487,-82.074998,200549,86331,840000029,11046882,324.326,4.265,3.3,35.2,31.4,33.2,11.3,0.3,1.7,54.2,63.2,51.6,48.4,36.8,89.1,1.3,39.7,9.1,"shoes:1,headwear:1,women's clothing:7,children's apparel:2,sporting goods:1,clothing:15,maternity clothing:1,women's shoes:1,fasion wholesale:1,jewelry:6,eyewear:2,personalized gifts:1,women's handbags:1,girl's clothing:1, clothing:1,women's jewelry:1,men's clothing:1,coffee:1,telecommunication:1,plus size clothing:1,sports apparel:1,beauty products:2,children's clothing:1,restaurant:3,video games:1, beauty products:1,footwear:3"
252,Music City Mall,Grand Forks County,north dakota,38035,47.926003,-97.450851,66861,29344,3720196548,8098075,1436.376,3.127,1.6,31.5,28.3,29.7,10.3,2.5,1.9,2,55.5,48.6,51.4,44.5,93.4,0.8,90.3,6,"shoes:1,headwear:1,beauty products:1,hair care:2,children's clothing:1,clothing:8,jewelry:1,eyewear:1,nutritional supplements:1,footwear:3,diamonds:1,personalized gifts:1"
253,Fremont Hub,Alameda County,california,6001,37.648081,-121.913304,1510271,582549,1914046110,213184643,739.017,82.311,1.8,37.5,35.6,36.6,11.1,0.6,26.1,12.6,64.6,51,49,35.4,93.6,10.8,43,6.4,"telecommunication:2,plus size clothing:1,children's apparel:1,home furnishings:1,children's clothing:1,clothing:1,ice cream:1,furniture:1,department store:1,restaurant:1,nutritional supplements:1,footwear:1"
254,The Woodlands Mall,Montgomery County,texas,48339,30.302364,-95.503523,455746,177647,2698080682,91022528,1041.735,35.144,1.9,37,35.1,36.1,10.4,0.7,2.1,4.3,74.7,50.4,49.6,25.3,91.5,7,83.5,10.7,"chocolates:1,men's gifts:1,women's shoes:2,children's footwear:1,plus size clothing:1,women's clothing:7,children's apparel:1,skincare:1,beauty products:2,hair care:1,children's clothing:1,clothing:16,maternity clothing:1,jewelry:4,fasion wholesale:1,consumer electronics:2,footwear:1,sports clothing:1,stuffed animals:1,restaurant:4,candles:1, accessories:1,video games:1, beauty products:1,eyewear:1,nutritional supplements:2,headwear:1,personalized gifts:1,girl's clothing:1,furniture:1, clothing:1,disney:1,women's jewelry:1"
255,Dulles Town Center Mall,Loudoun County,virginia,51107,39.08113,-77.638857,312311,109442,1335297272,14445102,515.561,5.577,1.7,35,34.5,34.8,6.5,0.3,14.7,7.3,77,50.7,49.3,23,95.6,4.9,68.7,4.8,"cookies:1,men's gifts:1,shoes:1,children's footwear:1,women's clothing:4,children's apparel:2,home furnishings:1,sporting goods:1,clothing:17,maternity clothing:1,telecommunication:2,jewelry:1,chocolates:1,eyewear:1,personalized gifts:1,girl's clothing:1,men's clothing:2,coffee:1,women's shoes:1,plus size clothing:1,sports apparel:1,beauty products:2,children's clothing:1,diamonds:1,restaurant:6,candles:1, beauty products:1,nutritional supplements:1,headwear:1,footwear:2"
256,The Market Place,Orange County,california,6059,33.675687,-117.777207,3010232,1048907,2047561084,407916814,790.568,157.498,1.4,37.5,34.9,36.2,11.6,0.6,17.9,1.7,71.4,50.5,49.5,28.6,94.6,14.5,60.8,5.9,"consumer electronics:1,coffee:1,telecommunication:2,restaurant:5,plus size clothing:1,women's clothing:1,eyewear:1,home furnishings:2,nutritional supplements:1,department store:1,beauty products:1,footwear:1,sporting goods:1,girl's clothing:1,books and digital media:1,clothing:3, clothing:1,furniture:1"
257,Brier Creek Commons,Durham County,north carolina,37063,36.036589,-78.877919,267587,120217,740672748,30797770,285.975,11.891,3.1,34.2,32.3,33.2,9.8,0.5,4.6,38,58.1,52.3,47.7,41.9,91,7.9,46.4,10.2,"men's clothing:1,telecommunication:1,plus size clothing:1,beauty products:1,sporting goods:1,clothing:1,furniture:1,jewelry:1,restaurant:2,nutritional supplements:1,footwear:1,books and digital media:1"
258,Victoria Gardens,Orange County,california,6059,33.675687,-117.777207,3010232,1048907,2047561084,407916814,790.568,157.498,1.4,37.5,34.9,36.2,11.6,0.6,17.9,1.7,71.4,50.5,49.5,28.6,94.6,14.5,60.8,5.9,"men's clothing:1,coffee:1,plus size clothing:1,men's gifts:1,shoes:2,children's footwear:1,denim:1,makeup:1,women's clothing:9,children's apparel:1,home furnishings:1,sports apparel:1,beauty products:3,hair care:1,children's clothing:1,clothing:15,ice cream:1,women's shoes:2,consumer electronics:1,sports clothing:1,jewelry:3,restaurant:6,girl's clothing:1, accessories:1,chocolates:1,eyewear:2,nutritional supplements:1,telecommunication:3,footwear:1,women's handbags:1,diamonds:1,furniture:2,personalized gifts:1"
259,Peninsula Town Center,Newport News city,virginia,51700,37.075978,-76.521719,180719,76198,177967764,131476125,68.714,50.763,2.5,34.1,30.7,32.3,10.6,0.5,2.7,40.7,63.5,51.7,48.3,36.5,92.7,2.7,49,7.9,"men's gifts:1,women's shoes:1,plus size clothing:1,women's clothing:4,children's apparel:1,beauty products:1,clothing:7,jewelry:1,department store:1,stuffed animals:1,eyewear:1,nutritional supplements:1,girl's clothing:1,books and digital media:1"
260,Midland Mall,Midland County,michigan,26111,43.648378,-84.379219,83629,35960,1337087878,30601740,516.253,11.815,1.8,41.8,38.8,40.4,14.8,0.4,1.9,1.2,68.4,50.9,49.1,31.6,93,0.4,94.5,6.1,"men's clothing:1,department store:1,shoes:1,restaurant:5, beauty products:1,women's clothing:4,eyewear:2, clothing:2,nutritional supplements:1,jewelry:4,telecommunication:2,beauty products:1,footwear:1,hair care:1,clothing:5,women's jewelry:1,personalized gifts:1"
261,Westfield Fox Valley Shopping Centre,DuPage County,illinois,17043,41.852058,-88.086038,916924,356179,848218379,23083362,327.499,8.913,2,39.5,36.6,38.2,11.6,0.3,10.1,4.6,70.6,51,49,29.4,94.7,4.9,77.9,7.9,"shoes:1,headwear:1,women's clothing:3,children's apparel:1,hair care:1,clothing:18,maternity clothing:1,jewelry:5,eyewear:3,mattress:1,women's jewelry:1,girl's clothing:1, clothing:1,disney:1,personalized gifts:1,men's clothing:1,telecommunication:3,plus size clothing:1,beauty products:1,consumer electronics:2,sports clothing:1,restaurant:10,nutritional supplements:1,footwear:2"
262,The Mall of Victor Valley,Davis County,utah,49011,41.037045,-112.202123,306479,97570,773832198,868122919,298.778,335.184,1.6,30,28.4,29.2,8.2,0.5,1.8,1.2,81.5,49.8,50.2,18.5,95.9,3.2,90,6.5,"shoes:2,headwear:1,women's clothing:2,hair care:1,clothing:11,jewelry:3,chocolates:1,eyewear:2,personalized gifts:1,diamonds:1,books and digital media:1, clothing:1,coffee:1,telecommunication:2,plus size clothing:1,beauty products:1,cellular accessories:1,children's clothing:1,consumer electronics:1,sports clothing:1,restaurant:3,nutritional supplements:2,footwear:2"
263,Union Station Atlanta,Spartanburg County,south carolina,45083,34.933239,-81.991053,284307,122628,2092518606,29310216,807.926,11.317,2.9,39.1,36.9,38,13.4,0.3,2,20.6,69,51.5,48.5,31,89.1,3.1,72.3,12.6,"nutritional supplements:1,sports apparel:1,cookies:1,footwear:1,restaurant:1,headwear:1,clothing:2,children's apparel:1"
264,Sumter Mall,Sumter County,south carolina,45085,33.916046,-80.382472,107456,46011,1722512472,44079489,665.066,17.019,2.4,37.5,33.3,35.4,13,0.4,1.1,46.9,70.1,51.9,48.1,29.9,87.8,1.4,48.2,10.3,"telecommunication:1,women's clothing:3,children's apparel:1,sports apparel:1,beauty products:1,clothing:5,jewelry:1,restaurant:1,video games:1,eyewear:1,nutritional supplements:1,footwear:1,personalized gifts:1"
