51678,0,10,70,0,2013,4,,"Lexington City, Virginia",Total Covered,"Total, all industries","County, Total Covered",All establishment sizes,361,4940,4942,4849,46287574,2044759,47247,725,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
51680,0,10,70,0,2013,4,,"Lynchburg City, Virginia",Total Covered,"Total, all industries","County, Total Covered",All establishment sizes,2482,50875,51784,51748,530253515,28852854,888544,792,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
51683,0,10,70,0,2013,4,,"Manassas City, Virginia",Total Covered,"Total, all industries","County, Total Covered",All establishment sizes,1469,23219,23304,23158,358613235,14411684,344363,1188,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
51685,0,10,70,0,2013,4,,"Manassas Park City, Virginia",Total Covered,"Total, all industries","County, Total Covered",All establishment sizes,264,2843,2860,2839,33786483,2332777,63372,913,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
51690,0,10,70,0,2013,4,,"Martinsville City, Virginia",Total Covered,"Total, all industries","County, Total Covered",All establishment sizes,893,10059,10031,9936,79276182,8110600,265551,609,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
51700,0,10,70,0,2013,4,,"Newport News City, Virginia",Total Covered,"Total, all industries","County, Total Covered",All establishment sizes,3666,97545,99022,99330,1180166106,51694902,1446866,920,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
51710,0,10,70,0,2013,4,,"Norfolk City, Virginia",Total Covered,"Total, all industries","County, Total Covered",All establishment sizes,5575,136754,137816,137971,1702429770,89591681,2700207,952,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
51720,0,10,70,0,2013,4,,"Norton City, Virginia",Total Covered,"Total, all industries","County, Total Covered",All establishment sizes,256,3795,3767,3770,34506796,2260741,51131,703,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
51730,0,10,70,0,2013,4,,"Petersburg City, Virginia",Total Covered,"Total, all industries","County, Total Covered",All establishment sizes,833,13090,13118,13137,128214584,8026835,213888,752,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
51735,0,10,70,0,2013,4,,"Poquoson City, Virginia",Total Covered,"Total, all industries","County, Total Covered",All establishment sizes,211,1654,1665,1657,13429016,1009098,17684,623,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
51740,0,10,70,0,2013,4,,"Portsmouth City, Virginia",Total Covered,"Total, all industries","County, Total Covered",All establishment sizes,1831,45076,45143,45063,519992457,22346202,733401,887,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
51750,0,10,70,0,2013,4,,"Radford City, Virginia",Total Covered,"Total, all industries","County, Total Covered",All establishment sizes,321,6078,6071,6112,63132202,2543039,77891,798,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
51760,0,10,70,0,2013,4,,"Richmond City, Virginia",Total Covered,"Total, all industries","County, Total Covered",All establishment sizes,7012,148127,148752,148427,2060595356,74958000,2281114,1068,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
51770,0,10,70,0,2013,4,,"Roanoke City, Virginia",Total Covered,"Total, all industries","County, Total Covered",All establishment sizes,3152,67192,68087,68305,740783224,42630908,1394651,840,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
51775,0,10,70,0,2013,4,,"Salem City, Virginia",Total Covered,"Total, all industries","County, Total Covered",All establishment sizes,998,22160,22202,22146,258181495,11830018,330216,896,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
51790,0,10,70,0,2013,4,,"Staunton City, Virginia",Total Covered,"Total, all industries","County, Total Covered",All establishment sizes,823,11195,11173,11203,91649073,7412347,148749,630,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
51800,0,10,70,0,2013,4,,"Suffolk City, Virginia",Total Covered,"Total, all industries","County, Total Covered",All establishment sizes,1655,27082,27105,27319,324087052,17016401,442631,918,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
