	0	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	Homeowner_vacancy_rate_percent	Median_Age_Female	Median_Age_Male	Median_Age	Percent_65_years_and_over	Percent_American_Indian_and_Alaska_Native	Percent_Asian	Percent_Black_or_African_American	Percent_Family_households	Percent_Female	Percent_Male	Percent_Nonfamily_households	Percent_Occupied_housing_units	Percent_Some_Other_Race	Percent_White	Rental_vacancy_rate_percent
664	0	413344	152698	2128361199	218665937	821.765	84.427	2.5	38.2	35.6	36.9	11.3	0.8	14.6	14.7	71.9	50.1	49.9	28.1	92.8	10.5	51.0	7.7
665	0	927644	398274	1976612450	56576401	763.174	21.844	2.8	36.2	32.9	34.6	10.3	0.2	2.3	52.1	65.9	52.3	47.7	34.1	88.1	3.3	40.6	15.1
666	0	488406	218017	1672364534	30883952	645.7040000000002	11.924	3.0	37.5	35.1	36.3	12.3	0.5	3.9	32.5	62.6	52.4	47.6	37.4	90.2	3.6	57.0	11.8
667	0	544179	226571	1226034453	16890687	473.375	6.522	1.9	37.6	35.2	36.4	10.9	0.4	4.2	4.3	68.2	51.2	48.8	31.8	94.0	2.5	86.0	10.2
668	0	517110	219580	850693384	28210895	328.455	10.892	1.9	34.4	32.6	33.5	10.6	0.7	2.7	11.6	62.1	50.8	49.2	37.9	92.2	5.7	76.4	10.3
669	0	13900	6153	953542690	13725963	368.165	5.3	4.1	40.0	37.9	39.0	12.7	0.4	0.2	21.8	74.9	50.2	49.8	25.1	82.0	2.0	73.9	10.5
670	0	200600	90563	1827925580	25248569	705.7660000000002	9.749	1.8	42.2	38.1	40.2	16.4	0.2	3.5	4.8	59.2	51.0	49.0	40.8	90.7	1.0	88.0	8.0
671	0	1820584	821693	1585280173	156946749	612.08	60.597	2.9	38.6	35.8	37.3	12.7	0.4	2.5	40.5	64.1	52.0	48.0	35.9	85.5	1.8	52.3	14.4
672	0	343829	189896	438803381	468240430	169.423	180.789	4.5	35.4	33.8	34.6	10.9	0.3	2.9	60.2	53.9	51.6	48.4	46.1	74.9	1.9	33.0	16.4
673	0	576567	278052	1628534966	742342470	628.781	286.62	2.5	44.8	40.2	42.6	21.0	0.2	1.7	3.2	67.5	52.1	47.9	32.5	79.5	2.5	91.0	10.3
674	0	265128	119323	1104465640	533085725	426.437	205.826	3.9	35.4	32.6	34.0	12.4	0.3	2.4	40.1	62.7	51.8	48.2	37.3	86.4	2.2	52.8	13.6
675	0	70400	32452	1378206525	23685679	532.129	9.145	1.8	46.2	40.6	43.4	17.6	0.1	0.4	4.0	65.4	49.6	50.4	34.6	88.4	0.2	94.0	8.5
676	0	130882	55967	1590355537	23595204	614.04	9.11	2.5	29.8	28.8	29.3	8.6	0.2	5.2	4.8	52.9	50.0	50.0	47.1	94.2	1.8	85.6	5.2
677	0	98294	41877	1442926509	3908964	557.117	1.509	2.6	38.1	35.4	36.8	13.2	0.2	0.9	36.3	67.3	52.5	47.5	32.7	90.9	1.9	59.2	10.4
678	0	157733	80139	7817065156	94747043	3018.186	36.582	4.2	41.2	39.2	40.2	14.9	0.9	0.9	0.4	67.2	50.6	49.4	32.8	80.0	3.0	92.2	10.9
679	0	3010232	1048907	2047561084	407916814	790.568	157.498	1.4	37.5	34.9	36.2	11.6	0.6	17.9	1.7	71.4	50.5	49.5	28.6	94.6	14.5	60.8	5.9
680	0	864263	388486	1974068274	404712512	762.192	156.26	3.4	37.2	34.4	35.8	11.1	0.4	4.2	29.5	63.7	51.5	48.5	36.3	88.1	2.1	60.9	13.6
681	0	677560	237501	2167580722	31904495	836.908	12.318	1.9	36.3	34.5	35.4	9.3	0.3	4.6	11.2	77.3	50.3	49.7	22.7	94.8	5.8	76.0	7.4
682	0	1145956	487839	2339870128	258560561	903.429	99.831	4.2	34.7	32.7	33.7	9.7	0.4	4.9	20.8	64.8	50.8	49.2	35.2	86.5	6.7	63.6	13.0
683	0	3095313	1164786	10895120648	826347909	4206.63	319.055	1.9	36.1	33.2	34.6	11.4	0.9	10.9	5.1	66.3	49.8	50.2	33.7	93.3	13.6	64.0	5.5
684	0	805029	335622	1549594703	216144619	598.302	83.454	1.8	40.6	37.3	39.1	14.6	0.3	5.0	26.1	64.8	52.7	47.3	35.2	94.4	1.6	64.6	7.1
685	0	366513	143169	581601212	11217700	224.557	4.331	1.6	39.2	36.2	37.8	12.6	0.3	8.9	20.3	67.2	51.2	48.8	32.8	93.0	6.2	61.4	8.5
686	0	242803	95018	140171293	109376999	54.12	42.231	3.8	31.9	28.0	29.7	9.4	0.5	3.3	43.1	58.7	48.2	51.8	41.3	91.0	2.2	47.1	8.5
687	0	534543	229967	1979289991	25446228	764.2080000000002	9.825	1.5	41.8	39.0	40.4	12.6	0.9	2.6	1.1	65.4	50.4	49.6	34.6	94.9	4.2	88.4	6.4
688	0	823318	281695	4773691889	945991626	1843.133	365.249	1.4	37.7	34.8	36.2	11.7	1.0	6.7	1.8	73.9	50.3	49.7	26.1	94.8	17.0	68.7	4.8
689	0	331298	164050	4103955681	202185444	1584.546	78.064	4.3	48.6	46.0	47.3	25.8	0.4	1.3	12.3	67.2	52.0	48.0	32.8	84.0	2.9	81.0	14.0
690	0	311687	104057	449492975	66800379	173.55	25.792	1.2	38.8	34.5	36.7	13.4	0.3	6.2	11.9	74.7	51.0	49.0	25.3	95.4	5.8	73.2	5.9
691	0	2496435	989435	4915061046	1381673402	1897.716	533.467	3.2	39.4	36.9	38.2	14.1	0.2	1.5	18.9	69.5	51.6	48.4	30.5	87.7	3.2	73.8	8.9
692	0	297735	120363	957444154	20006520	369.671	7.725	1.6	42.3	39.5	40.9	15.7	0.2	2.4	5.0	68.9	51.2	48.8	31.1	94.4	3.8	86.3	6.8
693	0	37244	15988	2786815890	2372731	1075.996	0.916	1.8	29.3	27.4	28.3	10.4	0.6	2.1	0.8	56.0	48.5	51.5	44.0	92.0	1.0	92.8	6.4
694	0	168852	99650	1964400618	711453131	758.459	274.694	4.2	40.6	38.4	39.5	14.5	0.7	2.0	10.8	65.0	50.5	49.5	35.0	68.7	1.2	82.2	28.9
695	0	9818605	3445076	10509869649	1795012906	4057.884	693.058	1.7	35.9	33.6	34.8	10.9	0.7	13.7	8.7	67.7	50.7	49.3	32.3	94.1	21.8	50.3	5.8
696	0	3817117	1639279	23828260196	62795719	9200.143	24.246	4.1	35.7	33.5	34.6	12.1	2.1	3.5	5.0	66.1	50.5	49.5	33.9	86.1	12.8	73.0	13.7
697	0	3817117	1639279	23828260196	62795719	9200.143	24.246	4.1	35.7	33.5	34.6	12.1	2.1	3.5	5.0	66.1	50.5	49.5	33.9	86.1	12.8	73.0	13.7
698	0	905116	352388	603490137	35385294	233.009	13.662	1.2	42.5	39.7	41.1	15.1	0.2	14.5	5.8	71.1	51.8	48.2	28.9	95.3	5.0	71.9	5.6
699	0	519445	202952	2444457103	103581050	943.81	39.993	1.4	39.5	36.8	38.2	15.0	0.2	1.9	3.7	69.9	51.1	48.9	30.1	95.4	3.6	88.6	5.3
700	0	600158	285797	396268588	4225359	153.0	1.631	3.6	33.9	33.5	33.7	10.4	1.4	3.4	10.2	47.5	50.0	50.0	52.5	92.1	11.9	68.9	7.2
701	0	47420	18010	3203598541	3088171	1236.9160000000004	1.192	3.5	37.1	33.6	35.6	13.1	0.7	0.5	0.4	77.7	52.4	47.6	22.3	85.7	22.9	73.5	11.5
702	0	382748	175555	1967777404	124061704	759.763	47.9	2.3	37.5	34.6	36.0	12.0	0.4	2.0	35.0	62.0	51.9	48.1	38.0	90.4	3.0	57.5	10.9
703	0	2496435	989435	4915061046	1381673402	1897.716	533.467	3.2	39.4	36.9	38.2	14.1	0.2	1.5	18.9	69.5	51.6	48.4	30.5	87.7	3.2	73.8	8.9
704	0	334811	146447	2076116529	28771340	801.5930000000002	11.109000000000002	2.4	38.6	35.8	37.3	12.2	0.8	2.5	24.0	66.2	50.9	49.1	33.8	92.0	2.0	68.2	10.1
705	0	172332	69181	1091310901	4294303	421.358	1.658	1.6	41.2	39.6	40.4	13.1	0.1	1.0	1.2	74.0	50.7	49.3	26.0	94.2	0.4	96.1	10.0
706	0	4092459	1598698	4411986582	191671993	1703.4779999999996	74.005	2.3	33.0	31.4	32.2	8.1	0.7	6.2	18.9	68.7	50.2	49.8	31.3	89.8	14.3	56.6	13.7
707	0	9818605	3445076	10509869649	1795012906	4057.884	693.058	1.7	35.9	33.6	34.8	10.9	0.7	13.7	8.7	67.7	50.7	49.3	32.3	94.1	21.8	50.3	5.8
708	0	423895	152834	7083838022	2729829365	2735.085	1053.993	1.7	35.1	32.3	33.6	12.8	1.3	4.9	2.0	64.5	49.8	50.2	35.5	93.0	17.4	69.6	4.5
709	0	180719	76198	177967764	131476125	68.714	50.76300000000001	2.5	34.1	30.7	32.3	10.6	0.5	2.7	40.7	63.5	51.7	48.3	36.5	92.7	2.7	49.0	7.9
710	0	670850	270359	1025908386	124944841	396.105	48.24100000000001	1.1	41.8	39.5	40.7	14.5	0.2	8.6	5.7	65.5	52.1	47.9	34.5	95.4	1.3	82.3	5.9
711	0	195085	80970	2032960300	63700594	784.93	24.595	2.7	37.8	35.9	36.9	10.6	0.3	1.9	10.6	72.5	51.0	49.0	27.5	91.5	2.8	83.0	12.6
712	0	189885	82690	560435436	11968740	216.385	4.621	2.6	35.7	31.4	33.5	11.6	0.4	2.2	45.5	64.4	52.1	47.9	35.6	89.6	2.4	46.3	11.5
713	0	4092459	1598698	4411986582	191671993	1703.4779999999996	74.005	2.3	33.0	31.4	32.2	8.1	0.7	6.2	18.9	68.7	50.2	49.8	31.3	89.8	14.3	56.6	13.7
714	0	153720	64481	1580944616	55281707	610.406	21.344	1.4	35.5	32.8	34.1	12.3	0.2	0.9	36.6	67.1	52.2	47.8	32.9	91.0	0.6	60.4	8.3
715	0	48773	21896	1524210117	77836802	588.501	30.053	2.4	38.9	36.3	37.7	12.8	0.3	0.8	47.0	68.4	52.5	47.5	31.6	86.5	0.7	50.3	10.4
716	0	1748066	810388	3133329108	292869341	1209.785	113.077	3.3	40.7	38.5	39.7	14.3	0.3	3.2	26.7	63.3	51.6	48.4	36.7	84.7	3.7	63.1	10.7
717	0	437994	177879	644948896	643150238	249.016	248.322	2.1	36.7	33.1	34.9	10.6	0.4	6.1	19.6	69.1	51.0	49.0	30.9	92.8	2.0	67.7	7.4
718	0	180719	76198	177967764	131476125	68.714	50.76300000000001	2.5	34.1	30.7	32.3	10.6	0.5	2.7	40.7	63.5	51.7	48.3	36.5	92.7	2.7	49.0	7.9
719	0	718633	319828	1835832315	24744702	708.819	9.554	2.4	35.7	33.0	34.3	12.0	3.5	3.0	15.4	62.4	51.1	48.9	37.6	89.9	8.1	64.6	11.4
720	0	920581	437105	1363977166	19917366	526.635	7.69	5.2	35.0	33.3	34.2	9.1	0.2	5.6	44.1	55.6	51.3	48.7	44.4	86.1	3.4	44.5	13.7
721	0	113924	49978	2939957539	33700941	1135.124	13.012	2.6	42.5	39.6	41.0	16.4	0.3	0.7	1.9	66.4	50.1	49.9	33.6	90.7	2.5	93.2	9.1
722	0	1503085	612004	2118135038	75739760	817.817	29.243	1.3	39.8	37.1	38.5	13.1	0.2	9.3	4.7	63.1	51.4	48.6	36.9	94.9	3.3	80.0	5.7
723	0	297735	120363	957444154	20006520	369.671	7.725	1.6	42.3	39.5	40.9	15.7	0.2	2.4	5.0	68.9	51.2	48.8	31.1	94.4	3.8	86.3	6.8
724	0	920581	437105	1363977166	19917366	526.635	7.69	5.2	35.0	33.3	34.2	9.1	0.2	5.6	44.1	55.6	51.3	48.7	44.4	86.1	3.4	44.5	13.7
725	0	43055	22438	111198695	2627087	42.934	1.014	4.2	45.0	39.8	42.6	19.1	0.2	0.9	48.3	58.8	54.4	45.6	41.2	83.9	1.5	47.7	16.6
726	0	254969	112028	2275405029	150956656	878.539	58.285	1.4	38.0	34.6	36.4	13.6	0.4	1.1	47.2	64.1	52.5	47.5	35.9	91.2	0.8	49.0	7.7
727	0	251133	107367	1022893152	442829766	394.941	170.97799999999995	2.2	41.2	37.3	39.4	13.3	1.6	4.9	2.6	67.7	49.4	50.6	32.3	90.5	1.6	82.6	8.6
728	0	45607	16141	5423378296	68447717	2093.978	26.428	1.5	32.6	31.0	31.8	11.4	6.5	0.6	0.2	78.2	49.8	50.2	21.8	92.9	9.8	80.6	7.8
729	0	221339	93084	2194644508	94662461	847.357	36.549	4.0	35.2	33.6	34.3	12.2	1.7	2.9	1.3	72.4	50.7	49.3	27.6	88.2	8.6	82.6	12.2
730	0	735334	324832	1117054236	88853180	431.297	34.306	2.5	36.2	35.3	35.7	10.5	1.1	6.5	5.6	53.7	50.5	49.5	46.3	93.8	5.1	76.5	5.5
731	0	107931	48193	1668121832	47814148	644.065	18.461	1.6	43.2	41.0	42.1	15.4	0.3	1.0	2.3	66.0	51.1	48.9	34.0	89.3	1.1	93.7	7.2
732	0	1081726	407998	1012604465	39567297	390.969	15.277	1.1	38.3	36.3	37.3	9.8	0.4	17.5	9.2	70.5	50.6	49.4	29.5	96.0	6.1	62.7	5.1
733	0	2496435	989435	4915061046	1381673402	1897.716	533.467	3.2	39.4	36.9	38.2	14.1	0.2	1.5	18.9	69.5	51.6	48.4	30.5	87.7	3.2	73.8	8.9
734	0	3598	1940	3522525947	13125082	1360.055	5.0680000000000005	3.5	50.0	42.3	45.3	24.3	0.7	0.3	1.5	68.7	45.7	54.3	31.3	69.6	6.9	88.6	15.3
