	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	Homeowner_vacancy_rate_percent	Median_Age_Female	Median_Age_Male	Median_Age	Percent_65_years_and_over	Percent_American_Indian_and_Alaska_Native	Percent_Asian	Percent_Black_or_African_American	Percent_Family_households	Percent_Female	Percent_Male	Percent_Nonfamily_households	Percent_Occupied_housing_units	Percent_Some_Other_Race	Percent_White	Rental_vacancy_rate_percent	0
806	998954.0	438032.0	1315195242.0	39414600.0	507.8	15.218	2.3	41.6	37.9	39.9	15.0	0.2	3.5	23.3	65.1	52.7	47.3	34.9	92.4	0.9	70.3	10.0	0
807	75403.0	30302.0	1918629058.0	8099319.0	740.7869999999998	3.127	2.3	38.2	35.9	37.1	14.8	2.1	1.9	0.6	69.1	51.3	48.7	30.9	93.4	5.4	85.9	8.0	0
808	116229.0	57966.0	3285632368.0	1524548726.0	1268.59	588.632	2.4	34.2	31.2	32.6	11.2	0.5	1.3	5.1	68.2	49.1	50.9	31.8	75.0	1.4	88.7	7.3	0
809	718451.0	271031.0	1161371825.0	757704380.0	448.408	292.551	1.3	40.5	37.9	39.3	13.4	0.5	24.8	2.8	68.1	50.8	49.2	31.9	95.1	11.8	53.4	4.6	0
810	4607.0	3371.0	3240040898.0	493622.0	1250.987	0.191	2.5	49.9	47.6	48.6	22.8	0.8	0.4	0.4	64.8	50.5	49.5	35.2	59.8	5.9	91.5	7.4	0
811	32856.0	23001.0	6637257545.0	1800019787.0	2562.66	694.992	4.3	47.0	45.2	46.1	19.6	4.9	0.5	0.4	61.9	50.7	49.3	38.1	62.2	0.4	92.1	9.3	0
812	234878.0	104180.0	3140175831.0	117138182.0	1212.429	45.227	1.6	42.4	39.3	40.8	16.3	0.3	2.8	6.3	62.8	50.2	49.8	37.2	89.3	1.5	87.1	7.9	0
813	144170.0	71267.0	4945359181.0	3774631.0	1909.414	1.457	2.6	44.6	41.3	43.0	15.1	3.1	1.2	0.9	58.4	51.3	48.7	41.6	86.9	15.1	76.2	9.1	0
814	269637.0	117315.0	8543248461.0	820974646.0	3298.567	316.98	2.1	41.5	37.4	39.4	15.2	0.9	3.2	2.1	62.4	48.8	51.2	37.6	87.0	7.3	82.6	5.5	0
815	9818605.0	3445076.0	10509869649.0	1795012906.0	4057.884	693.058	1.7	35.9	33.6	34.8	10.9	0.7	13.7	8.7	67.7	50.7	49.3	32.3	94.1	21.8	50.3	5.8	0
816	180822.0	92407.0	2409328778.0	393241055.0	930.247	151.83100000000005	3.3	40.1	36.3	38.3	13.9	0.6	2.9	9.3	66.9	49.8	50.2	33.1	78.3	2.0	81.1	22.9	0
817	483878.0	204572.0	4081430136.0	497530353.0	1575.849	192.098	1.9	41.6	38.0	39.9	13.9	1.3	3.8	1.6	63.0	50.8	49.2	37.0	90.8	11.8	76.8	5.1	0
818	375770.0	159222.0	13896869603.0	22331525.0	5365.611999999999	8.622	5.5	36.0	34.8	35.3	13.9	5.6	1.7	4.6	73.4	47.5	52.5	26.6	78.9	11.5	72.4	13.9	0
819	1781642.0	631920.0	3341343470.0	36174996.0	1290.1	13.967	1.4	37.1	35.3	36.2	11.1	0.7	32.0	2.6	70.6	49.8	50.2	29.4	95.6	12.4	47.0	4.3	0
820	265128.0	119323.0	1104465640.0	533085725.0	426.437	205.826	3.9	35.4	32.6	34.0	12.4	0.3	2.4	40.1	62.7	51.8	48.2	37.3	86.4	2.2	52.8	13.6	0
