,county,usps
454,hillsborough county,florida
457,prince george's county,maryland
458,onslow county,north carolina
459,columbia county,oregon
460,shenandoah county,virginia
461,rock county,wisconsin
462,marin county,california
463,jefferson county,kentucky
465,jefferson county,arkansas
466,putnam county,new york
468,dallas county,iowa
471,kandiyohi county,minnesota
474,dubuque county,iowa
475,tyler county,west virginia
476,mccracken county,kentucky
477,hamilton county,ohio
478,bell county,texas
480,kings county,new york
482,lubbock county,texas
483,sullivan county,tennessee
484,burleigh county,north dakota
486,hennepin county,minnesota
487,knox county,tennessee
489,hidalgo county,texas
491,medina county,ohio
493,medina county,texas
495,lake county,florida
496,sumter county,florida
498,wheeler county,georgia
500,williamson county,texas
504,douglas county,nebraska
505,st. charles parish,louisiana
506,calhoun county,michigan
508,marion county,oregon
510,alexandria city,virginia
511,clinton county,michigan
513,howard county,maryland
515,davis county,utah
516,lebanon county,pennsylvania
519,lehigh county,pennsylvania
521,essex county,massachusetts
522,allen county,ohio
526,linn county,iowa
527,essex county,new jersey
530,blair county,pennsylvania
532,gregg county,texas
534,caddo parish,louisiana
535,angelina county,texas
536,lycoming county,pennsylvania
537,virginia beach city,virginia
541,new hanover county,north carolina
544,jerome county,idaho
545,darlington county,south carolina
546,pima county,arizona
548,boyd county,kentucky
551,maverick county,texas
552,webb county,texas
553,taylor county,texas
556,east baton rouge parish,louisiana
557,hillsborough county,new hampshire
559,pottawattamie county,iowa
563,manassas city,virginia
564,riley county,kansas
568,champaign county,illinois
569,montgomery county,texas
572,howard county,indiana
574,brevard county,florida
577,pulaski county,arkansas
580,storey county,nevada
582,wayne county,new york
586,merced county,california
589,polk county,iowa
591,doña ana county,new mexico
593,hendricks county,indiana
597,miami county,ohio
598,st. charles county,missouri
599,midland county,michigan
600,midland county,texas
601,tuscaloosa county,alabama
602,erie county,pennsylvania
603,douglas county,wisconsin
606,union county,north carolina
615,monongalia county,west virginia
616,floyd county,georgia
618,shasta county,california
619,delaware county,indiana
620,grand forks county,north dakota
622,rockland county,new york
625,sarpy county,nebraska
628,tuscarawas county,ohio
630,st. clair county,alabama
635,centre county,pennsylvania
638,story county,iowa
639,adams county,pennsylvania
644,st. tammany parish,louisiana
649,kankakee county,illinois
654,madison county,texas
660,defiance county,ohio
661,washington county,arkansas
664,solano county,california
665,shelby county,tennessee
667,johnson county,kansas
669,jasper county,georgia
670,broome county,new york
672,orleans parish,louisiana
673,ocean county,new jersey
674,chatham county,georgia
675,belmont county,ohio
677,madison county,tennessee
678,deschutes county,oregon
680,duval county,florida
686,norfolk city,virginia
692,northampton county,pennsylvania
693,latah county,idaho
694,bay county,florida
698,bergen county,new jersey
699,lancaster county,pennsylvania
701,santa cruz county,arizona
708,santa barbara county,california
711,shelby county,alabama
714,ouachita parish,louisiana
715,warren county,mississippi
719,oklahoma county,oklahoma
721,lasalle county,illinois
725,danville city,virginia
728,bingham county,idaho
729,benton county,arkansas
734,kinney county,texas
739,coos county,oregon
740,charlotte county,florida
741,brazos county,texas
742,prince william county,virginia
743,dutchess county,new york
744,yavapai county,arizona
745,calcasieu parish,louisiana
746,orangeburg county,south carolina
754,wilson county,tennessee
757,pueblo county,colorado
761,adams county,illinois
762,calhoun county,alabama
763,randolph county,north carolina
764,grand county,colorado
765,washington county,utah
768,racine county,wisconsin
770,madison county,mississippi
776,wayne county,indiana
778,yellowstone county,montana
779,apache county,arizona
782,blue earth county,minnesota
785,spokane county,washington
786,lynchburg city,virginia
787,fairfield county,ohio
788,crockett county,tennessee
795,york county,south carolina
796,morris county,new jersey
797,jackson county,oregon
800,douglas county,oregon
804,pennington county,south dakota
805,huron county,ohio
807,polk county,oregon
808,jefferson county,new york
810,kimble county,texas
812,oneida county,new york
814,san luis obispo county,california
816,okaloosa county,florida
828,dallas county,alabama
829,seminole county,florida
831,carroll county,new hampshire
832,van buren county,michigan
833,pottawatomie county,oklahoma
834,mercer county,pennsylvania
836,san joaquin county,california
842,berkeley county,west virginia
844,wichita county,texas
846,kootenai county,idaho
849,suffolk county,new york
853,cleveland county,oklahoma
857,pierce county,washington
863,mingo county,west virginia
866,desoto county,mississippi
868,cerro gordo county,iowa
871,dakota county,nebraska
872,mahoning county,ohio
873,missoula county,montana
874,union county,south carolina
881,colonial heights city,virginia
882,rock island county,illinois
883,lancaster county,nebraska
885,otsego county,new york
892,st. clair county,illinois
896,st. lawrence county,new york
900,richmond county,new york
901,bulloch county,georgia
902,merrimack county,new hampshire
906,rutherford county,tennessee
911,monroe county,pennsylvania
913,campbell county,wyoming
917,sumter county,south carolina
920,tom green county,texas
921,madison county,nebraska
925,northumberland county,pennsylvania
926,bristol county,rhode island
931,sevier county,tennessee
939,windham county,connecticut
945,fayette county,georgia
950,morton county,north dakota
953,wicomico county,maryland
958,kalamazoo county,michigan
967,westchester county,new york
971,martin county,florida
972,riverside county,california
973,franklin county,idaho
978,ottawa county,michigan
980,la paz county,arizona
982,greene county,ohio
983,monroe county,new york
986,washington county,tennessee
991,beaufort county,south carolina
993,lackawanna county,pennsylvania
995,craighead county,arkansas
999,lafayette parish,louisiana
1000,monroe county,michigan
1006,stanislaus county,california
1022,boulder county,colorado
1027,kendall county,texas
1034,peoria county,illinois
1037,bibb county,georgia
1040,clearfield county,pennsylvania
1043,laurens county,south carolina
1044,tompkins county,new york
1060,bath county,kentucky
1069,sumner county,tennessee
1085,tippecanoe county,indiana
1087,cuyahoga county,ohio
1089,caledonia county,vermont
1097,sedgwick county,kansas
1098,daviess county,kentucky
1100,carroll county,maryland
1103,canyon county,idaho
1107,tulsa county,oklahoma
1108,forrest county,mississippi
1112,pinellas county,florida
1113,falls church city,virginia
1116,spartanburg county,south carolina
1117,fayette county,pennsylvania
1120,jackson county,illinois
1121,st. joseph county,indiana
1123,platte county,nebraska
1124,clark county,ohio
1128,lowndes county,georgia
1131,cameron county,texas
1132,gooding county,idaho
1133,catawba county,north carolina
1135,bucks county,pennsylvania
1139,navarro county,texas
1144,lee county,alabama
1146,seward county,nebraska
1150,hanover county,virginia
1151,tulare county,california
1153,volusia county,florida
1156,whitfield county,georgia
1161,washington county,pennsylvania
1162,washington county,oklahoma
1167,prentiss county,mississippi
1170,kittitas county,washington
1171,clay county,minnesota
1173,cullman county,alabama
1176,cape girardeau county,missouri
1177,shawnee county,kansas
1186,stark county,ohio
1189,thurston county,washington
1197,gaston county,north carolina
1200,lucas county,ohio
1234,clark county,washington
1239,potter county,texas
1240,costilla county,colorado
1243,westmoreland county,pennsylvania
1247,jackson county,michigan
1252,napa county,california
1253,sangamon county,illinois
1257,wilson county,north carolina
1258,saratoga county,new york
1261,houston county,alabama
1264,union county,new jersey
1265,yamhill county,oregon
1266,washington county,minnesota
1270,luzerne county,pennsylvania
1271,york county,pennsylvania
1273,yuma county,arizona
1274,platte county,missouri
