category,rate,name,address,url,price_range
"Mobile Phones,Electronics Repair,Mobile Phone Repair",5.0 star rating,cell phone store,,,$$
"Dog Walkers,Pet Boarding/Pet Sitting,Pet Training",5.0 star rating,paw prints,,,
Jewelry,3.5 star rating,blancas bridal,,,$$$
Doctors,,tulio,,,
"Steakhouses,Salad,American (New)",4.0 star rating,modern steak,,,$$$$
Dry Cleaning & Laundry,,tulip,,,$
"Dim Sum,Cantonese",3.5 star rating,dai bai dang,,,$$
"Jewelry,Watches,Bridal",2.5 star rating,london jewelers,,,$$$$
,,great earth,,,
"Cafes,Himalayan/Nepalese",4.0 star rating,the curious palate,,,$
Bookstores,4.5 star rating,american girl®,,,$$
"Tattoo,Piercing",4.0 star rating,pathogen ink,,,$$
"Chicken Wings,Sports Bars,Breakfast & Brunch",3.5 star rating,cajun luau,,,$$
"Women's Clothing,Accessories,Formal Wear",3.0 star rating,belk kids,,,$$
Department Stores,4.0 star rating,boltons,,,$$
Lawyers,,distinctive interiors,,,
"Kitchen & Bath,Furniture Stores,Mattresses",2.5 star rating,smart buys las vegas,,,$$
Japanese,3.0 star rating,sarku japan,,,$
Architects,,my books,,,
Child Care & Day Care,,first step child care,,,
"Bakeries,Cafes",4.0 star rating,audreys,,,$
"Cheese Shops,Delis",4.5 star rating,mulberry lane,,,$$
Sporting Goods,4.0 star rating,t-shirt place,,,$$
Thai,4.0 star rating,yum yum kitchen,,,$$
"American (Traditional),Burgers",3.5 star rating,fuddruckers,,,$$
Lawyers,,ticknors,,,
Shopping Centers,2.5 star rating,auntie annes pretzels center court ,,,$$
Investing,,virginia commerce bank,,,
"Massage,Reflexology",4.0 star rating,coco spa,,,$
Auto Glass Services,,safelite glass,,,
Cosmetics & Beauty Supply,4.5 star rating,natural beauty spa boutique - cart,,,$
Amusement Parks,3.5 star rating,disney entrepreneur center,,,
,,aversa,,,
Discount Store,3.5 star rating,only 99 cent store,,,$
Photographers,,island magnets,,,
"American (New),Ramen",3.5 star rating,timeout,,,$$
"Bars,Korean",3.5 star rating,starlite golf company,,,$$
American (New),,kincaids,,,
"Bars,American (New)",4.0 star rating,plymouth custom tailor,,,$$
,,fix hair salon,,,
"Bars,American (New)",4.0 star rating,w shoes coming soon,,,$$
Jewelry,4.5 star rating,reflections jewelers,,,$$
,,a+ picture framing,,,
"Korean,Creperies",4.0 star rating,justin c wilkins o d eye care,,,$$
"General Dentistry,Orthodontists,Cosmetic Dentists",2.5 star rating,bright now dental,,,
"Accessories,Men's Clothing",4.5 star rating,buckle it,,,$$$
"Women's Clothing,Home Decor,Antiques",4.0 star rating,spotlight for women,,,$$$
