category,rate,name,address,url,price_range
Nail Salons,3.5 star rating,nailworks,,,$
Stadiums & Arenas,3.0 star rating,steelers sideline store,,,
"Sushi Bars,Japanese",4.0 star rating,r a sushi,,,$$
"Jewelry,Art Galleries",4.5 star rating,roberts custom jewelry,,,$$
"Jewelry,Watches",3.5 star rating,jade galore,,,$$$$
"Shoe Stores,Sports Wear",5.0 star rating,all flags and sports,,,$$
"Car Dealers,Auto Repair,Auto Parts & Supplies",3.5 star rating,simc accessories,,,
"Tattoo,Piercing,Jewelry",4.5 star rating,body jewelry corner,,,$$
"Venues & Event Spaces,Music Venues",4.0 star rating,broadway,,,$$
Mexican,3.5 star rating,miguel’s california mexican cocina,,,$
"Cosmetics & Beauty Supply,Skin Care",4.0 star rating,quality beauty supply,,,$
Gun/Rifle Ranges,4.0 star rating,50 yard eyewear,,,
IT Services & Computer Repair,5.0 star rating,its,,,
Auto Customization,5.0 star rating,the crown shop,,,
Hotels,1.0 star rating,el dorado,,,
"Desserts,Bakeries",4.5 star rating,kettle corn to go,,,$$
"Nail Salons,Hair Removal",4.5 star rating,simply unique,,,$$
Orthodontists,5.0 star rating,ostermans,,,
"Breweries,American (Traditional)",2.0 star rating,gordon biersch breweryrestaurant,,,$$
Mobile Phones,,real pcs,,,
,,miracle ear--sears,,,
"Furniture Stores,Mattresses",4.0 star rating,leonards furniture,,,$$$$
"Pizza,Italian,Lounges",4.0 star rating,rock wood fired pizza,,,$$
"French,Mediterranean",3.0 star rating,la provence,,,$$$
Japanese,4.0 star rating,osaka japanese steakhouse,,,$$
"Antiques,Thrift Stores",3.5 star rating,zona rosa dental,,,$$
"Building Supplies,Kitchen & Bath",5.0 star rating,linas produce,,,$$
"Hot Dogs,Burgers",3.5 star rating,kurleys jean shop,,,$$
"Performing Arts,Specialty Schools",5.0 star rating,ats institute of tech ,,,
"Department Stores,Cosmetics & Beauty Supply",4.0 star rating,nordstrom spa,,,$$$
"Investing,Financial Advising",3.0 star rating,national future benefits,,,
"Japanese,Hot Pot,Buffets",3.5 star rating,mums,,,$$
Real Estate Services,5.0 star rating,real estate office,,,
Pizza,4.0 star rating,bobs pizza plus,,,$$
"Tattoo,Piercing",5.0 star rating,black rose,,,$$
"Auto Glass Services,Windshield Installation & Repair",5.0 star rating,alamo insurance,,,
"Sandwiches,Burgers",4.0 star rating,gallery in the burgh,,,$
Men's Clothing,4.5 star rating,louis thomas mens wear,,,$$$
"Skin Care,Day Spas,Cosmetics & Beauty Supply",5.0 star rating,hair plus by regis,,,$$
"Wine Bars,American (New)",3.5 star rating,dr castleberry,,,$$$
Nail Salons,,nail tique,,,
Flowers & Gifts,5.0 star rating,canada store,,,$$
Mexican,3.0 star rating,tacosmore,,,$
"Men's Clothing,Women's Clothing,Leather Goods",3.5 star rating,sunglass up buckle down,,,$$$$
"Indian,Pakistani",3.0 star rating,desi living innovations,,,$
"Nail Salons,Hair Removal",5.0 star rating,shoes 2 love,,,$$
"French,American (New)",4.5 star rating,st hubert,,,$$$$
"Landmarks & Historical Buildings,Fishing",5.0 star rating,urban kings,,,
"Department Stores,Men's Clothing",4.5 star rating,rocawear,,,$$
"Jewelry,Cosmetics & Beauty Supply",3.5 star rating,claires,,,$
Shopping Centers,3.5 star rating,toys r us plaza ,,,$$$
Accessories,3.0 star rating,invu,,,$$
"Bakeries,Dim Sum,Cantonese",4.0 star rating,dumpling haus,,,$
Grocery,3.0 star rating,jenny craig plaza ,,,$$
Podiatrists,4.5 star rating,macys ii,,,
Jewelry,5.0 star rating,angels creations,,,$$
Tanning,4.5 star rating,island oasis,,,$$
Pet Groomers,2.0 star rating,perfect pets,,,
Chinese,4.0 star rating,asia garden,,,$
Desserts,4.0 star rating,beard papas sweets cafe,,,$
Health Retreats,5.0 star rating,selectionals,,,
Bookstores,3.0 star rating,book warehouse,,,
Physical Therapy,5.0 star rating,therapy south,,,
"Dive Bars,American (Traditional)",3.5 star rating,floyds 99 barbershop,,,$$
"Ice Cream & Frozen Yogurt,Bakeries",4.5 star rating,blue bell creameries,,,$
Interior Design,4.5 star rating,photo maker,,,
Home Decor,5.0 star rating,the flag shop,,,$$
Hair Salons,5.0 star rating,salon capri,,,$$$
Hair Salons,5.0 star rating,chao relax,,,$$$
"Irish Pub,American (Traditional)",3.0 star rating,comsumer opinion center,,,$$
Jewelry,4.5 star rating,personal touch jewelry,,,$$
"Sushi Bars,Japanese",3.0 star rating,red parrot japanese,,,$$
"Jewelry,Women's Clothing",4.5 star rating,donnas jewelry,,,$
Interior Design,4.0 star rating,dfw furniture,,,
"Japanese,Korean",3.5 star rating,kobe,,,$$
Kitchen & Bath,4.5 star rating,house of cutlery,,,$$$$
"Ice Cream & Frozen Yogurt,Gelato",4.0 star rating,whimsical gelato,,,$
Florists,4.5 star rating,florist,,,$$
"Eyewear & Opticians,Accessories",4.0 star rating,solstice sunglass ,,,$$$
"Ice Cream & Frozen Yogurt,Creperies,Gelato",3.0 star rating,gelato cafe,,,$
Radio Stations,2.0 star rating,jimmy kimmel live,,,
Coffee & Tea,4.5 star rating,buffys boutique,,,$$
"Women's Clothing,Accessories,Leather Goods",3.5 star rating,the clic,,,$$$$
"Breakfast & Brunch,American (New),Burgers",4.0 star rating,homestead birkenstock,,,$$
Barbeque,3.0 star rating,the honey baked ham company,,,$$$
Toy Stores,4.0 star rating,build-a-bear,,,$$
"Jewelry,Women's Clothing,Accessories",4.5 star rating,limited editions for her,,,$$
Nurseries & Gardening,5.0 star rating,the great indoors,,,$$
"Filipino,Caterers",3.5 star rating,moms cinnamon rolls and bakeshop,,,$$
"Sandwiches,Delis,Italian",4.5 star rating,chalet market,,,$
"Barbeque,Burgers",4.0 star rating,harrisons sports,,,$$
"Retirement Homes,Rehabilitation Center",3.5 star rating,villages transportation,,,
Japanese,3.0 star rating,happi house,,,$
Pet Boarding/Pet Sitting,5.0 star rating,kitty me,,,
Hair Salons,5.0 star rating,urban nirvana hair salon,,,$$
"Trainers,Life Coach",5.0 star rating,us fitness products,,,
"Seafood,Seafood Markets,Live/Raw Food",4.5 star rating,historic depot restaurant,,,$$
Advertising,,media replay,,,
Airlines,2.5 star rating,island hoppers,,,
"Sports Bars,American (Traditional),Chicken Wings",4.0 star rating,old time sports,,,$$
"Lounges,Diners",3.0 star rating,linebacker u,,,$$$
"IT Services & Computer Repair,Private Tutors",4.5 star rating,extreme gadgets,,,
Adult,4.5 star rating,legacy shoppe,,,$$
Mexican,4.0 star rating,taco place,,,$$
"Mobile Phone Repair,Electronics Repair,Mobile Phones",5.0 star rating,wireless to go,,,$$
"Men's Clothing,Leather Goods,Jewelry",4.5 star rating,trendy buckles,,,$$$$
Art Galleries,4.0 star rating,bow-tie cinemas,,,
Cards & Stationery,,marks hallmark,,,$
Nail Salons,3.5 star rating,nail trix,,,$$
Nail Salons,2.0 star rating,world nails,,,$$
"Thrift Stores,Community Service/Non-Profit",4.0 star rating,buffalo survey,,,$
Financial Advising,,onemain financial,,,
Mobile Phone Repair,4.5 star rating,world phones,,,
"Ice Cream & Frozen Yogurt,Bakeries",4.5 star rating,yogurt vi,,,$
Pizza,4.5 star rating,lorenzos pizza,,,$$
"Coffee & Tea,Tobacco Shops,Local Flavor",4.5 star rating,briar patch smoke shop,,,$$
"Watches,Watch Repair",4.0 star rating,coach house gold crown,,,$$$
"Eyelash Service,Waxing",5.0 star rating,eye beauty,,,$$$
"General Dentistry,Cosmetic Dentists",5.0 star rating,dr s mcdonald,,,
Festivals,5.0 star rating,cartoon field,,,
"Men's Clothing,Accessories,Sports Wear",4.5 star rating,brooklyn,,,$$$
Hair Salons,3.5 star rating,express yourself,,,
Hair Extensions,4.5 star rating,anthony vince nail salon,,,$$$
"Women's Clothing,Jewelry",5.0 star rating,eves shoes,,,$$
"Laboratory Testing,Medical Centers",3.5 star rating,any lab tests,,,
Women's Clothing,4.5 star rating,pink bombshell,,,$$$$
Home Decor,5.0 star rating,the coastal cupboard,,,$$
"Climbing,Hiking",4.0 star rating,cotopaxi,,,
Photographers,5.0 star rating,portrait place,,,
"Men's Clothing,Women's Clothing,Gift Shops",4.5 star rating,t shirt magic,,,$
"Jewelry,Cosmetics & Beauty Supply",3.5 star rating,claire’s,,,$
Jewelry,5.0 star rating,precious jewels,,,$$$
"Dance Schools,Art Classes,Cultural Center",5.0 star rating,at hula,,,
Jewelry,4.5 star rating,jewelers on fifth jewelry exchange,,,$$
Lounges,3.5 star rating,j-shore,,,$$$
Shoe Stores,3.5 star rating,circle mall shoe repair,,,$$$
"Women's Clothing,Art Galleries,Accessories",5.0 star rating,its all about me forever,,,$$
"Toy Stores,Jewelry,Cards & Stationery",5.0 star rating,necklace city,,,$$
"Art Galleries,Framing",5.0 star rating,artframing,,,$$
"Shopping Centers,Department Stores",3.0 star rating,claires club,,,$$
