new_id,old_id,mall,name,usps,geoid,INTPTLAT,INTPTLONG,POP10,HU10,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,Homeowner_vacancy_rate_percent,Median_Age_Female,Median_Age_Male,Median_Age,Percent_65_years_and_over,Percent_American_Indian_and_Alaska_Native,Percent_Asian,Percent_Black_or_African_American,Percent_Family_households,Percent_Female,Percent_Male,Percent_Nonfamily_households,Percent_Occupied_housing_units,Percent_Some_Other_Race,Percent_White,Rental_vacancy_rate_percent
13,1033,St. Clair Square Mall,St. Clair County,illinois,17163,38.470198,-89.928546,270056,116249,1703588508,42149850,657.759,16.274,2.7,38.3,35.4,36.9,12.5,0.2,1.2,30.5,67.3,51.9,48.1,32.7,90.4,1.2,64.6,9.5,"jewelry:3,clothing:20,women's shoes:2,consumer electronics:1,beauty products:1,children's apparel:3,nutritional supplements:1,plus size clothing:1,personalized gifts:1,diamonds:1,footwear:2,girl's clothing:1,telecommunication:3,stuffed animals:1,shoes:2,women's clothing:5,sports apparel:1,women's jewelry:1,coffee:1,children's clothing:1,eyewear:2,hair care:1,restaurant:7, clothing:2,children's footwear:1, beauty products:1,candles:1"
14,1249,Town Center at Boca Raton,Broward County,florida,12011,26.19352,-80.476658,1748066,810388,3133329108,292869341,1209.785,113.077,3.3,40.7,38.5,39.7,14.3,0.3,3.2,26.7,63.3,51.6,48.4,36.7,84.7,3.7,63.1,10.7,"women's shoes:2,clothing:14,men's clothing:1,jewelry:3,mattress:1,headwear:1,consumer electronics:2,beauty products:3,children's apparel:1,nutritional supplements:2, accessories:1,telecommunication:2,footwear:1,girl's clothing:1,women's handbags:1,shoes:2,makeup:1,sports apparel:1,women's clothing:6,clothing & shoes:1,guest services:1,chocolates:1,eyewear:2,men's gifts:1,restaurant:3, clothing:1,furniture:2,candles:1"
15,1412,Westfield UTC,San Diego County,california,6073,33.023604,-116.776117,3095313,1164786,10895120648,826347909,4206.63,319.055,1.9,36.1,33.2,34.6,11.4,0.9,10.9,5.1,66.3,49.8,50.2,33.7,93.3,13.6,64,5.5,"jewelry:1,clothing:15,women's shoes:1,furniture:1,consumer electronics:1,beauty products:3,children's apparel:1,nutritional supplements:1, accessories:1,telecommunication:3,footwear:1,girl's clothing:1,women's handbags:1,shoes:2,makeup:1,women's clothing:5,women's jewelry:1,maternity clothing:1,coffee:1,men's gifts:1,children's clothing:1,chocolates:2,eyewear:1,fasion wholesale:1,restaurant:3,children's footwear:1,denim:1"
16,259,Dakota Square,Ward County,north dakota,38101,48.216686,-101.540537,61675,26744,5214369294,110541959,2013.279,42.68,1.2,34.6,31,32.7,13,2.6,0.9,2.5,62.3,49.3,50.7,37.7,93.6,0.7,90.3,4.2,"jewelry:1,clothing:10,books and digital media:1,ice cream:1,shoes:1,women's clothing:5,cellular accessories:1,women's jewelry:1,consumer electronics:1,beauty products:1,department store:1,nutritional supplements:1, clothing:1,eyewear:1,hair care:2,restaurant:4,diamonds:1, beauty products:1,footwear:1"
17,310,Eastpoint Mall,Baltimore city,maryland,24510,39.300213,-76.610516,620961,296685,209643241,28768302,80.944,11.108,4.2,35.7,33.1,34.4,11.7,0.4,2.3,63.7,53.6,52.9,47.1,46.4,84.2,1.8,29.6,10.7,"jewelry:2,clothing:3,women's shoes:1,eyewear:1,headwear:1,beauty products:1,children's apparel:1,nutritional supplements:2,children's clothing:1,personalized gifts:1,hair care:1,restaurant:4,telecommunication:3,video games:1,footwear:1"
18,473,Holly Hill Mall,Alamance County,north carolina,37001,36.041974,-79.399935,151131,66576,1098007863,27957457,423.943,10.794,2.9,39.7,37.5,38.7,14.6,0.7,1.2,18.8,66.5,52.4,47.6,33.5,90.1,6.1,71.1,11.2,"nutritional supplements:1,clothing:2,photography:1,shoes:1,coffee:1,sporting goods:1,skincare:1,jewelry:1,footwear:1"
19,625,Macomb Mall Shopping Center,Macomb County,michigan,26099,42.671467,-82.910869,840978,356626,1241183094,237312769,479.223,91.627,2.2,41.1,38.6,39.9,14.3,0.3,3,8.6,67,51.4,48.6,33,93,0.6,85.4,10.2,"women's shoes:1,clothing:10,women's clothing:3,sports apparel:1,eyewear:1,women's jewelry:1,headwear:1,beauty products:1,maternity clothing:1,nutritional supplements:1,plus size clothing:1,personalized gifts:1,hair care:1,footwear:2,jewelry:2,perfume:1"
20,129,Brookwood Square,Windham County,vermont,50025,42.999143,-72.716335,44513,29735,2033930747,33055836,785.305,12.763,2.1,45.7,43.9,44.9,16.1,0.3,1,0.9,59.4,50.9,49.1,40.6,64.9,0.5,95.3,8.4,restaurant:3
21,1378,Westfield Eastridge Shopping Centre,Gaston County,north carolina,37071,35.293344,-81.177256,206086,88686,922106205,20913349,356.027,8.075,2.8,39.9,37.8,38.9,13.2,0.4,1.2,15.3,70.1,51.6,48.4,29.9,90.1,3.1,78.2,11.7,"jewelry:3,clothing:12,shoes:1,men's clothing:1,women's clothing:2,footwear:2,eyewear:1,women's jewelry:1,consumer electronics:2,beauty products:1,maternity clothing:1,nutritional supplements:1,personalized gifts:1,restaurant:2,telecommunication:1,sporting goods:1,cookies:1"
22,14,Alexandria Mall,Rapides Parish,louisiana,22079,31.193204,-92.535953,131613,55684,3413506392,113169602,1317.962,43.695,1.6,38.5,35.3,36.9,13.7,0.8,1.2,32,68.3,51.8,48.2,31.7,90.5,1,63.3,8.5,"girl's clothing:1,jewelry:2,clothing:13,sporting goods:1,women's clothing:1,nutritional supplements:2,sports apparel:1,headwear:1,diamonds:1,maternity clothing:1,home furnishings:1,women's shoes:1,children's clothing:1, clothing:2,hair care:1,restaurant:2,beauty products:1,footwear:3, beauty products:1,cookies:1"
23,405,GM Renaissance Center,Newport News city,virginia,51700,37.075978,-76.521719,180719,76198,177967764,131476125,68.714,50.763,2.5,34.1,30.7,32.3,10.6,0.5,2.7,40.7,63.5,51.7,48.3,36.5,92.7,2.7,49,7.9,"coffee:1,clothing:3,telecommunication:1,men's clothing:1,restaurant:3"
24,3,4S Commons Town Center,San Diego County,california,6073,33.023604,-116.776117,3095313,1164786,10895120648,826347909,4206.63,319.055,1.9,36.1,33.2,34.6,11.4,0.9,10.9,5.1,66.3,49.8,50.2,33.7,93.3,13.6,64,5.5,"home furnishings:1,restaurant:2"
25,952,Scottsdale Fashion Square,Maricopa County,arizona,4013,33.346541,-112.495534,3817117,1639279,23828260196,62795719,9200.143,24.246,4.1,35.7,33.5,34.6,12.1,2.1,3.5,5,66.1,50.5,49.5,33.9,86.1,12.8,73,13.7,"women's shoes:1,clothing:18,jewelry:4,nutritional supplements:1,mattress:1,skincare:1,beauty products:3,children's apparel:2,hair care:1, accessories:1,personalized gifts:1,telecommunication:2, clothing:2,women's handbags:1,stuffed animals:1,shoes:2,makeup:1,cellular accessories:1,women's clothing:7,women's jewelry:1,coffee:1,disney:1,fasion wholesale:1,children's clothing:1,chocolates:1,eyewear:2,men's gifts:1,restaurant:8,footwear:1,furniture:2,denim:1, beauty products:1"
