,mallid,mall,county,usps,geoid,INTPTLAT,INTPTLONG,POP10,HU10,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,Homeowner_vacancy_rate_percent,Median_Age_Female,Median_Age_Male,Median_Age,Percent_65_years_and_over,Percent_American_Indian_and_Alaska_Native,Percent_Asian,Percent_Black_or_African_American,Percent_Family_households,Percent_Female,Percent_Male,Percent_Nonfamily_households,Percent_Occupied_housing_units,Percent_Some_Other_Race,Percent_White,Rental_vacancy_rate_percent, accessories,beauty products,books and digital media,candles,cellular accessories,children's apparel,children's clothing,children's footwear,chocolates,clothing,clothing & shoes,coffee,consumer electronics,cookies,denim,department store,diamonds,disney,eyewear,fasion wholesale,footwear,furniture,girl's clothing,guest services,hair care,headwear,home furnishings,ice cream,jewelry,makeup,maternity clothing,mattress,men's clothing,men's gifts,nutritional supplements,perfume,personalized gifts,photography,plus size clothing,restaurant,shoes,skincare,sporting goods,sports apparel,sports clothing,stuffed animals,telecommunication,video games,women's clothing,women's handbags,women's jewelry,women's shoes,new_id
483,488,chandler fashion center,Maricopa County,arizona,4013,33.346540999999995,-112.495534,3817117,1639279,23828260196,62795719,9200.143,24.246,4.1,35.7,33.5,34.6,12.1,2.1,3.5,5.0,66.1,50.5,49.5,33.9,86.1,12.8,73.0,13.7,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,20.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,12.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,6.0,1.0,1.0,1.0,483
484,489,chapel hill mall,Summit County,ohio,39153,41.121851,-81.534936,541781,245109,1069012672,18926101,412.74800000000005,7.307,2.5,41.4,38.6,40.0,14.6,0.2,2.2,14.4,63.3,51.6,48.4,36.7,90.9,0.5,80.6,9.8,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,484
485,490,chapel hill mall,Summit County,ohio,39153,41.121851,-81.534936,541781,245109,1069012672,18926101,412.74800000000005,7.307,2.5,41.4,38.6,40.0,14.6,0.2,2.2,14.4,63.3,51.6,48.4,36.7,90.9,0.5,80.6,9.8,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,485
486,491,chapel hills mall,El Paso County,colorado,8041,38.827383000000005,-104.527472,622263,252852,5508389808,7111582,2126.801,2.7460000000000004,2.3,35.7,32.5,34.1,10.0,1.0,2.7,6.2,68.0,50.2,49.8,32.0,93.3,4.9,79.8,7.7,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,486
487,492,charleston town center mall,Kanawha County,west virginia,54039,38.328061,-81.523522,193063,92618,2335100448,24173038,901.587,9.333,2.1,44.2,40.6,42.4,16.7,0.2,1.0,7.3,62.0,52.0,48.0,38.0,90.9,0.3,89.1,6.8,0.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,17.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,6.0,0.0,1.0,2.0,487
488,493,charlottesville fashion square,Charlottesville city,virginia,51540,38.037658,-78.485381,43475,19189,26517362,52974,10.238,0.02,2.7,28.0,27.7,27.8,9.2,0.3,6.4,19.4,42.3,52.3,47.7,57.7,92.6,1.8,69.1,6.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,12.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,488
489,494,chautauqua mall,Chautauqua County,new york,36013,42.304216,-79.407595,134905,66920,2745973829,1139483300,1060.226,439.957,2.1,42.3,39.6,40.9,16.6,0.5,0.5,2.4,62.9,50.7,49.3,37.1,81.1,2.0,92.6,9.7,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,489
490,495,cherry creek,Denver County,colorado,8031,39.761849,-104.880625,600158,285797,396268588,4225359,153.0,1.631,3.6,33.9,33.5,33.7,10.4,1.4,3.4,10.2,47.5,50.0,50.0,52.5,92.1,11.9,68.9,7.2,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,12.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,4.0,1.0,1.0,1.0,490
491,496,cherry hill mall,Philadelphia County,pennsylvania,42101,40.009376,-75.133346,1526006,670171,347321129,22289408,134.101,8.606,2.1,35.1,31.9,33.5,12.1,0.5,6.3,43.4,56.8,52.8,47.2,43.2,89.5,5.9,41.0,8.9,1.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,20.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,8.0,0.0,0.0,2.0,491
492,497,cherryvale mall,Boone County,illinois,17007,42.318983,-88.82429499999999,54165,19970,727059777,3380831,280.719,1.305,3.4,37.5,36.0,36.8,11.7,0.4,1.3,2.0,77.1,50.0,50.0,22.9,92.7,9.3,84.4,7.4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,5.0,0.0,1.0,1.0,492
