,0,1
"feature_helper{'n_topics': 14, 'sparse_degree': 0.10000000000000001}",0.04989832476537601,0.049996385768356764
"feature_helper{'n_topics': 14, 'sparse_degree': 0.5}",0.04989832476537601,0.049996385768356764
"feature_helper{'n_topics': 14, 'sparse_degree': 0.90000000000000002}",0.04989832476537601,0.049996385768356764
"feature_helper{'n_topics': 14, 'sparse_degree': 1.3000000000000003}",0.04989832476537601,0.049996385768356764
"feature_helper{'n_topics': 14, 'sparse_degree': 1.7000000000000002}",0.04989832476537601,0.049996385768356764
"feature_helper{'n_topics': 14, 'sparse_degree': 2.1000000000000001}",0.04989832476537601,0.049996385768356764
"feature_helper{'n_topics': 14, 'sparse_degree': 2.5000000000000004}",0.04989832476537601,0.049996385768356764
"feature_helper{'n_topics': 14, 'sparse_degree': 2.9000000000000004}",0.04989832476537601,0.049996385768356764
"feature_helper{'n_topics': 19, 'sparse_degree': 0.10000000000000001}",0.04989832476537601,0.049996385768356764
"feature_helper{'n_topics': 19, 'sparse_degree': 0.5}",0.04989832476537601,0.049996385768356764
"feature_helper{'n_topics': 19, 'sparse_degree': 0.90000000000000002}",0.04989832476537601,0.049996385768356764
"feature_helper{'n_topics': 19, 'sparse_degree': 1.3000000000000003}",0.04989832476537601,0.049996385768356764
"feature_helper{'n_topics': 19, 'sparse_degree': 1.7000000000000002}",0.04989832476537601,0.049996385768356764
"feature_helper{'n_topics': 19, 'sparse_degree': 2.1000000000000001}",0.04989832476537601,0.049996385768356764
"feature_helper{'n_topics': 19, 'sparse_degree': 2.5000000000000004}",0.04989832476537601,0.049996385768356764
"feature_helper{'n_topics': 19, 'sparse_degree': 2.9000000000000004}",0.04989832476537601,0.049996385768356764
"feature_helper{'n_topics': 24, 'sparse_degree': 0.10000000000000001}",0.04989832476537601,0.049996385768356764
"feature_helper{'n_topics': 24, 'sparse_degree': 0.5}",0.04989832476537601,0.049996385768356764
"feature_helper{'n_topics': 24, 'sparse_degree': 0.90000000000000002}",0.04989832476537601,0.049996385768356764
"feature_helper{'n_topics': 24, 'sparse_degree': 1.3000000000000003}",0.04989832476537601,0.049996385768356764
"feature_helper{'n_topics': 24, 'sparse_degree': 1.7000000000000002}",0.04989832476537601,0.049996385768356764
"feature_helper{'n_topics': 24, 'sparse_degree': 2.1000000000000001}",0.04989832476537601,0.049996385768356764
"feature_helper{'n_topics': 24, 'sparse_degree': 2.5000000000000004}",0.04989832476537601,0.049996385768356764
"feature_helper{'n_topics': 24, 'sparse_degree': 2.9000000000000004}",0.04989832476537601,0.049996385768356764
"feature_helper{'n_topics': 29, 'sparse_degree': 0.10000000000000001}",0.04989832476537601,0.049996385768356764
"feature_helper{'n_topics': 29, 'sparse_degree': 0.5}",0.04989832476537601,0.049996385768356764
"feature_helper{'n_topics': 29, 'sparse_degree': 0.90000000000000002}",0.04989832476537601,0.049996385768356764
"feature_helper{'n_topics': 29, 'sparse_degree': 1.3000000000000003}",0.04989832476537601,0.049996385768356764
"feature_helper{'n_topics': 29, 'sparse_degree': 1.7000000000000002}",0.04989832476537601,0.049996385768356764
"feature_helper{'n_topics': 29, 'sparse_degree': 2.1000000000000001}",0.04989832476537601,0.049996385768356764
"feature_helper{'n_topics': 29, 'sparse_degree': 2.5000000000000004}",0.04989832476537601,0.049996385768356764
"feature_helper{'n_topics': 29, 'sparse_degree': 2.9000000000000004}",0.04989832476537601,0.049996385768356764
"feature_helper{'n_topics': 34, 'sparse_degree': 0.10000000000000001}",0.04989832476537601,0.049996385768356764
"feature_helper{'n_topics': 34, 'sparse_degree': 0.5}",0.04989832476537601,0.049996385768356764
"feature_helper{'n_topics': 34, 'sparse_degree': 0.90000000000000002}",0.04989832476537601,0.049996385768356764
"feature_helper{'n_topics': 34, 'sparse_degree': 1.3000000000000003}",0.04989832476537601,0.049996385768356764
"feature_helper{'n_topics': 34, 'sparse_degree': 1.7000000000000002}",0.04989832476537601,0.049996385768356764
"feature_helper{'n_topics': 34, 'sparse_degree': 2.1000000000000001}",0.04989832476537601,0.049996385768356764
"feature_helper{'n_topics': 34, 'sparse_degree': 2.5000000000000004}",0.04989832476537601,0.049996385768356764
