category,rate,name,address,url,price_range
"Skin Care,Hair Salons,Day Spas",4.0 star rating,wild root salonspa--aveda,,,$$$
"Museums,Aquariums",4.0 star rating,gator mania,,,
"Bakeries,American (Traditional),Breakfast & Brunch",3.5 star rating,iceman airbrush,,,$$
Jewelry,3.5 star rating,flagship randalls,,,$$$$
"Graphic Design,Web Design,Marketing",5.0 star rating,image express,,,
"Coffee & Tea,Breakfast & Brunch",4.5 star rating,steam cafe,,,$
"Home Decor,Jewelry,Personal Shopping",4.5 star rating,urban fashions,,,$$
"Day Spas,Gyms,Sports Wear",4.0 star rating,tal nails,,,$$$
"Apartments,Property Management",2.5 star rating,utility bill payment ctr ,,,
"Ethnic Food,Grocery,Italian",4.5 star rating,the olive store*,,,$$
Airports,4.5 star rating,tren d home,,,
"Men's Clothing,Women's Clothing",4.5 star rating,premium blend,,,$$
"Pizza,Barbeque,Salad",3.5 star rating,city style,,,$$
Men's Clothing,4.5 star rating,alta moda,,,$$$
"Banks & Credit Unions,Investing",4.5 star rating,second national bank,,,
"Home Decor,Carpeting",5.0 star rating,marks rugs,,,$$
Women's Clothing,4.0 star rating,aritzia,,,$$$
Cinema,3.0 star rating,twenty-two fifty gifts,,,
Tobacco Shops,3.0 star rating,havana house,,,$
"Computers,Mobile Phones,IT Services & Computer Repair",3.5 star rating,chit chat wireless,,,$$$
"Museums,Aquariums",4.0 star rating,exotic images,,,
Nail Salons,5.0 star rating,waxnails,,,$$
Szechuan,3.5 star rating,tao way style,,,$
"Cards & Stationery,Gift Shops",4.0 star rating,janes hallmark,,,$$
"Japanese,Sushi Bars",4.0 star rating,hapi,,,$$$
"Women's Clothing,Accessories,Shoe Stores",1.0 star rating,intermix,,,$$$
"Ice Cream & Frozen Yogurt,Bakeries",4.5 star rating,amys ice creams,,,$
Eyewear & Opticians,5.0 star rating,optical images,,,$$$
"Sports Wear,Bikes,Outdoor Gear",4.5 star rating,swimn sport,,,$$
Hair Removal,2.0 star rating,eyebrows plus,,,$$
"French,Mediterranean",4.0 star rating,merit training inst ,,,$$$
Cinema,4.0 star rating,amc 24 theatre,,,
Mortgage Brokers,,pacific sun,,,
Seafood,3.5 star rating,la fuente,,,$
"Organic Stores,Grocery",4.0 star rating,sprouts farmers market,,,$$
"Tattoo,Piercing",4.0 star rating,military steel artwork,,,$$
Hair Salons,4.5 star rating,kidshair salon,,,$$
"Toy Stores,Jewelry,Cards & Stationery",5.0 star rating,worlds best toys,,,$$
"Seafood,Seafood Markets,Live/Raw Food",4.5 star rating,pure food fish,,,$$
Parks,4.5 star rating,tall grass art school,,,
