category,rate,name,address,url,price_range
Mobile Phones,,alltel,,,
Cinema,4.5 star rating,regal valley 12 theaters,,,
Nail Salons,4.0 star rating,nails 1st,,,$
Gold Buyers,,tri-valley cash 4 gold,,,
"Coffee & Tea,Mexican,Latin American",4.0 star rating,churreria,,,$
"Dry Cleaning & Laundry,Cafes,Internet Cafes",3.5 star rating,bean creek studio,,,$
"Mobile Phone Repair,Electronics Repair,Mobile Phones",5.0 star rating,cellular only,,,$$
"Radio Stations,Television Stations",4.0 star rating,usa blues,,,
Women's Clothing,2.0 star rating,the avenue plus,,,$$
"Boot Camps,Pilates,Gyms",5.0 star rating,perfect concepts,,,
"Nail Salons,Waxing",4.5 star rating,diva nail spa,,,$$
"Insurance,Tax Services",5.0 star rating,one source insurance,,,
"Cosmetics & Beauty Supply,Nail Salons",4.5 star rating,visage salon,,,$$
"American (New),Salad,Cafes",4.0 star rating,martis bistro,,,$$$
"Outdoor Gear,Bike Rentals,Bikes",4.5 star rating,sportsman trail,,,$$
"Body Shops,Auto Repair,Tires",3.5 star rating,tds leather,,,
"Barbeque,American (Traditional)",4.0 star rating,waters pelton,,,$
Public Services & Government,5.0 star rating,marine recruiting,,,
Chocolatiers & Shops,4.5 star rating,lokta paper,,,$$
Shopping,,trendy trends,,,
"Jewelry,Cards & Stationery,Home Decor",4.5 star rating,aroma fragrances and gifts,,,$$
Korean,3.5 star rating,yummy korean bbq,,,$$
Eyewear & Opticians,5.0 star rating,lenscrafters express,,,$$
"Pubs,Comfort Food",3.5 star rating,meltdown candle,,,$$
Moroccan,4.0 star rating,aladdins castle,,,$$$
Nail Salons,4.0 star rating,nails 3000,,,$
"Hotels,Day Spas",3.5 star rating,broadmoor nails,,,$$$
"Bakeries,Sandwiches",4.5 star rating,coastal cookies,,,$
Art Schools,5.0 star rating,kids art,,,
"Bikes,Bike Rentals",4.5 star rating,esthers sports cards,,,$$$
Home Organization,4.5 star rating,the closet,,,
American (Traditional),4.0 star rating,fuse media lounge,,,$$$
"Sandwiches,Breakfast & Brunch,Barbeque",3.5 star rating,gameday by goldys,,,$$
"Used, Vintage & Consignment,Wigs",4.5 star rating,world wig fashion,,,$$
"General Dentistry,Cosmetic Dentists",5.0 star rating,gentle dental of oregon,,,
